Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
,21.59,,,,,62.64,108.76
,21.58,,,,,,
,21.52,,,,,,
,21.35,,,,,,
,21.25,,,,,,
,20.95,,,,,,
,20.58,,,,,,
,20.31,,,,,,
,19.93,,,,,,
,19.55,,,,,,
,19.2,,,,,,
,18.67,,,,,,
,18.36,,,,,,
,18.01,,,,,,
,17.57,,,,,,
,17.22,,,,,,
,16.84,,,,,,
,16.49,,,,,,
,16.15,,,,,,
,15.82,,,,,,
,15.48,,,,,,
,15.09,,,,,,
,14.66,,,,,,
,14.26,,,,,,
,13.92,3,14.2,,,,
,13.91,,,,,,
,13.49,,,,,,
,13.19,,,,,,
,12.8,,,,,,
,12.46,,,,,,
,12.12,,,,,,
,11.76,,,,,,
,11.38,,,,,,
,11.01,,,,,,
,10.66,,,,,,
,10.32,2,10.45,,,,
,10.11,,,,,,
,9.78,,,,,,
,9.39,,,,,,
,9.02,,,,,,
,8.77,,,,,,
,8.39,,,,,,
,8.02,,,,,,
,7.63,,,,,,
,7.25,,,,,,
,6.92,,,,,,
,6.56,2,6.66,,,,
,6.3,,,,,,
,5.98,,,,,,
,5.61,,,,,,
,5.22,,,,,,
,4.78,,,,,,
,4.44,,,,,,
,4.05,,,,,,
,3.74,,,,,,
,3.41,,,,,,
,3.04,,,,,,
,2.64,2,2.71,,,,
,2.35,,,,,,
,2.04,,,,,,
,1.71,,,,,,
,1.36,,,,,,
,0.97,,,,,,
,0.55,,,,,,
,0.18,,,,25.08,,
,24.63,,,,,,
,24.31,,,,,,
,23.94,1,23.94,,,,
,23.55,,,,,,
,23.2,,,,,,
,22.8,,,,,,
,22.45,,,,,,
,22.11,,,,,,
,21.73,,,,,,
,21.38,,,,,,
,20.97,,,,,,
,20.6,,,,,,
,20.24,1,20.23,,,,
,19.88,,,,,,
,19.52,,,,,,
,19.15,,,,,,
,18.76,,,,,,
,18.43,,,,,,
,18,,,,,,
,17.68,,,,,,
,17.29,,,,,,
,16.9,,,,,,
,16.51,1,16.51,,,,
,16.18,,,,,,
,15.83,,,,,,
,15.46,,,,,,
,15.15,,,,,,
,14.71,,,,,,
,14.36,,,,,,
,14.04,,,,,,
,13.66,,,,,,
,13.29,,,,,,
,12.92,,,,,,
,12.57,1,12.56,,,,
,12.19,,,,,,
,11.9,,,,,,
,11.55,,,,,,
,11.15,,,,,,
,10.81,,,,,,
,10.46,,,,,,
,10.09,,,,,,
,9.79,,,,,,
,9.5,,,,,,
,9.2,,,,,,
,8.88,,,,,,
,8.47,1,8.44,,,,
,8.11,,,,,,
,7.85,,,,,,
,7.47,,,,,,
,7.14,,,,,,
,6.79,,,,,,
,6.44,,,,,,
,6.14,,,,,,
,5.83,,,,,,
,5.5,,,,,,
,5.2,1,5.16,,,,
,4.88,,,,,,
,4.55,,,,,,
,4.18,,,,,,
,3.94,,,,,,
,3.65,,,,,,
,3.35,,,,,,
,3,,,,,,
,2.68,,,,,,
,2.43,,,,,,
,2.16,,,,,,
,1.88,,,,,,
,1.72,,,,,,
,1.34,,,,,,
,1.06,,,,,,
,0.79,,,,,,
,0.55,,,,,,
,0.43,,,,,,
,0.4,,,,,,
,0.4,,,,,,
,0.39,,,,,,
,0.37,,,,,,
,0.38,,,,,,
,0.36,,,,,,
