Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
,22.76,,,,,62.9,108.79
,22.72,,,,,,
,22.64,,,,,,
,22.55,,,,,,
,22.26,,,,,,
,22.04,,,,,,
,21.68,,,,,,
,21.38,,,,,,
,21.01,,,,,,
,20.63,,,,,,
,20.29,,,,,,
,19.84,,,,,,
,19.49,,,,,,
,19.08,,,,,,
,18.65,,,,,,
,18.33,,,,,,
,17.86,,,,,,
,17.57,,,,,,
,17.2,,,,,,
,16.83,,,,,,
,16.45,,,,,,
,16.13,,,,,,
,15.72,,,,,,
,15.3,,,,,,
,15.05,3,15.28,,,,
,14.92,,,,,,
,14.55,,,,,,
,14.18,,,,,,
,13.79,,,,,,
,13.47,,,,,,
,13.16,,,,,,
,12.76,,,,,,
,12.41,,,,,,
,12.01,,,,,,
,11.67,,,,,,
,11.28,,,,,,
,10.96,2,11.19,,,,
,10.85,,,,,,
,10.44,,,,,,
,10.09,,,,,,
,9.75,,,,,,
,9.39,,,,,,
,9.03,,,,,,
,8.68,,,,,,
,8.3,,,,,,
,7.93,,,,,,
,7.59,2,7.68,,,,
,7.34,,,,,,
,6.99,,,,,,
,6.62,,,,,,
,6.22,,,,,,
,5.85,,,,,,
,5.5,,,,,,
,5.11,,,,,,
,4.75,,,,,,
,4.44,,,,,,
,4.06,,,,,,
,3.7,2,3.73,,,,
,3.41,,,,,,
,3.06,,,,,,
,2.66,,,,,,
,2.32,,,,,,
,1.88,,,,,,
,1.56,,,,,,
,1.19,,,,,,
,0.82,,,,,,
,0.48,,,,,,
,0.14,,,,24.27,,
,23.82,,,,,,
,23.39,,,,,,
,23.03,,,,,,
,22.67,1,22.66,,,,
,22.35,,,,,,
,21.96,,,,,,
,21.56,,,,,,
,21.21,,,,,,
,20.87,,,,,,
,20.46,1,20.46,,,,
,20.14,,,,,,
,19.79,,,,,,
,19.36,,,,,,
,18.96,,,,,,
,18.61,,,,,,
,18.25,,,,,,
,17.9,,,,,,
,17.57,,,,,,
,17.2,,,,,,
,16.8,1,16.78,,,,
,16.47,,,,,,
,16.14,,,,,,
,15.78,,,,,,
,15.37,,,,,,
,15.02,,,,,,
,14.62,,,,,,
,14.29,,,,,,
,13.93,,,,,,
,13.55,,,,,,
,13.2,,,,,,
,12.82,1,12.81,,,,
,12.45,,,,,,
,12.16,,,,,,
,11.79,,,,,,
,11.43,,,,,,
,11.06,,,,,,
,10.73,,,,,,
,10.36,,,,,,
,10.12,,,,,,
,9.77,,,,,,
,9.39,,,,,,
,9.02,1,9,,,,
,8.65,,,,,,
,8.26,,,,,,
,7.98,,,,,,
,7.63,,,,,,
,7.35,,,,,,
,7.05,,,,,,
,6.66,,,,,,
,6.36,,,,,,
,6.08,,,,,,
,5.75,1,5.67,,,,
,5.35,,,,,,
,5.08,,,,,,
,4.72,,,,,,
,4.41,,,,,,
,4.13,,,,,,
,3.88,,,,,,
,3.58,,,,,,
,3.27,,,,,,
,2.98,,,,,,
,2.72,,,,,,
,2.41,,,,,,
,2.16,,,,,,
,1.85,,,,,,
,1.53,,,,,,
,1.28,,,,,,
,1,,,,,,
,0.78,,,,,,
,0.72,,,,,,
,0.69,,,,,,
,0.69,,,,,,
,0.7,,,,,,
,0.7,,,,,,
,0.69,,,,,,
