Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
,0,,,,,62.59,108.26
,-0.01,,,,,,
,0.01,,,,,,
,0.01,,,,,,
,0.01,,,,,,
,0.01,,,,,,
,0.03,,,,,,
,0.12,,,,,,
,0.33,,,,,,
,0.62,,,,,,
,0.91,,,,,,
,1.13,,,,,,
,1.41,,,,,,
,1.69,,,,,,
,1.95,,,,,,
,2.23,,,,,,
,2.48,,,,,,
,2.74,,,,,,
,3.1,,,,,,
,3.37,,,,,,
,3.68,,,,,,
,3.99,,,,,,
,4.24,,,,,,
,4.57,,,,,,
,4.87,,,,,,
,5.19,,,,,,
,5.45,,,,,,
,5.8,,,,,,
,6.12,,,,,,
,6.45,,,,,,
,6.84,,,,,,
,7.15,,,,,,
,7.47,,,,,,
,7.82,,,,,,
,8.12,,,,,,
,8.45,1,8.5,,,,
,8.85,,,,,,
,9.15,,,,,,
,9.5,,,,,,
,9.85,,,,,,
,10.18,,,,,,
,10.5,,,,,,
,10.9,,,,,,
,11.28,,,,,,
,11.64,,,,,,
,11.96,,,,,,
,12.3,1,1.34,,,,
,12.72,,,,,,
,13.1,,,,,,
,13.42,,,,,,
,13.77,,,,,,
,14.11,,,,,,
,14.45,,,,,,
,14.85,,,,,,
,15.23,,,,,,
,15.59,,,,,,
,15.91,,,,,,
,16.35,1,16.38,,,,
,16.73,,,,,,
,17.05,,,,,,
,17.47,,,,,,
,17.78,,,,,,
,18.12,,,,,,
,18.49,,,,,,
,18.87,,,,,,
,19.26,,,,,,
,19.63,,,,,,
,20.06,1,20.08,,,,
,20.38,,,,,,
,20.73,,,,,,
,21.1,,,,,,
,21.48,,,,,,
,21.88,,,,,,
,22.2,,,,,,
,22.59,,,,,,
,22.93,,,,,,
,23.29,,,,,,
,23.68,1,23.68,,,,
,24.02,,,,,,
,24.41,,,,,,
,24.72,,,,0.18,,
,0.6,,,,,,
,0.99,,,,,,
,1.41,,,,,,
,1.79,,,,,,
,2.09,,,,,,
,2.47,,,,,,
,2.83,1,2.89,,,,
,3.25,,,,,,
,3.65,,,,,,
,3.98,,,,,,
,4.39,,,,,,
,4.71,,,,,,
,5.04,,,,,,
,5.41,,,,,,
,5.79,,,,,,
,6.18,,,,,,
,6.53,,,,,,
,6.88,2,6.89,,,,
,7.15,,,,,,
,7.5,,,,,,
,7.93,,,,,,
,8.26,,,,,,
,8.57,,,,,,
,8.93,,,,,,
,9.29,,,,,,
,9.74,,,,,,
,10.06,,,,,,
,10.41,2,10.36,,,,
,10.75,,,,,,
,11.04,,,,,,
,11.38,,,,,,
,11.74,,,,,,
,12.15,,,,,,
,12.45,,,,,,
,12.81,,,,,,
,13.18,,,,,,
,13.56,,,,,,
,13.91,,,,,,
,14.27,,,,,,
,14.64,2,14.61,,,,
,14.77,,,,,,
,15.18,,,,,,
,15.48,,,,,,
,15.86,,,,,,
,16.29,,,,,,
,16.63,,,,,,
,17.02,,,,,,
,17.39,,,,,,
,17.72,,,,,,
,18.11,,,,,,
,18.58,3,18.37,,,,
,18.67,,,,,,
,18.91,,,,,,
,19.24,,,,,,
,19.59,,,,,,
,19.99,,,,,,
,20.21,,,,,,
,20.48,,,,,,
,20.7,,,,,,
,20.89,,,,,,
,21.03,,,,,,
,21.22,,,,,,
,21.38,,,,,,
,21.45,,,,,,
,21.58,,,,,,
