Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
23.87,21.44,,,,,67.56,112.15
23.57,21.39,,,,,,
23.03,21.37,,,,,,
22.74,21.34,,,,,,
22.42,21.21,,,,,,
22.11,21.06,,,,,,
21.8,20.92,,,,,,
21.46,20.75,,,,,,
21.17,20.64,,,,,,
20.86,20.49,,,,,,
20.52,20.34,,,,,,
20.18,20.05,,,,,,
19.83,19.85,,,,,,
19.52,19.64,,,,,,
19.22,19.37,,,,,,
18.9,19.12,,,,,,
18.55,18.83,,,,,,
18.17,18.55,,,,,,
17.84,18.25,,,,,,
17.51,17.94,,,,,,
17.2,17.65,,,,,,
16.89,17.36,,,,,,
16.53,16.99,,,,,,
16.17,16.44,,,,,,
15.83,16.32,,,,,,
15.51,15.96,,,,,,
15.19,15.67,,,,,,
14.89,15.3,,,,,,
14.54,14.92,,,,,,
14.17,14.56,,,,,,
13.83,14.16,2,14.19,,,,
13.49,13.83,,,,,,
13.18,13.5,,,,,,
12.86,13.17,,,,,,
12.52,12.76,,,,,,
12.15,12.33,,,,,,
11.81,11.98,,,,,,
11.47,11.6,,,,,,
11.17,11.23,,,,,,
10.86,10.86,,,,,,
10.5,10.43,2,10.38,,,,
10.13,9.98,,,,,,
9.79,9.63,,,,,,
9.46,9.23,,,,,,
9.14,8.88,,,,,,
8.82,8.4,,,,,,
8.47,8.02,,,,,,
8.12,7.55,,,,,,
7.78,7.12,2,7.14,,,,
7.44,6.82,,,,,,
7.14,6.36,,,,,,
6.81,5.95,,,,,,
6.46,5.46,,,,,,
6.09,5.04,,,,,,
5.76,4.54,,,,,,
5.45,4.22,,,,,,
5.14,3.79,,,,,,
4.81,3.36,2,3.43,,,,
4.44,2.98,,,,,,
4.08,2.55,,,,,,
3.75,2.14,,,,,,
3.43,1.7,,,,,,
3.12,1.32,,,,,,
2.8,0.84,,,,,,
2.44,0.3,1,0.29,,,,
2.08,-0.21,,,,,,
1.74,-0.65,,,24.97,23,,
24.67,22.55,,,,,,
24.36,22.11,,,,,,
24.04,21.67,,,,,,
23.67,21.14,,,,,,
23.32,20.68,,,,,,
22.97,20.22,2,20.31,,,,
22.65,19.89,,,,,,
22.35,19.5,,,,,,
22.04,19.04,,,,,,
21.68,18.5,,,,,,
21.32,18.03,,,,,,
20.98,17.58,,,,,,
20.65,17.09,1,17.12,,,,
20.34,16.72,,,,,,
20.02,16.27,,,,,,
19.67,15.8,,,,,,
19.31,15.32,,,,,,
18.97,14.9,,,,,,
18.64,14.41,,,,,,
18.33,14.01,,,,,,
18.01,13.49,,,,,,
17.66,13.04,,,,,,
17.31,12.52,,,,,,
16.97,12.03,,,,,,
16.65,11.54,,,,,,
16.34,11.1,,,,,,
16.01,10.67,,,,,,
15.67,10.2,,,,,,
15.31,9.76,1,9.87,,,,
14.98,9.47,,,,,,
14.63,8.94,,,,,,
14.34,8.49,,,,,,
14.02,8.08,,,,,,
13.67,7.56,,,,,,
13.32,7.06,,,,,,
12.97,6.63,,,,,,
12.65,6.19,,,,,,
12.34,5.81,,,,,,
12.02,5.42,,,,,,
11.66,4.97,,,,,,
11.32,4.52,,,,,,
10.98,4.05,,,,,,
10.66,3.61,,,,,,
10.35,3.18,,,,,,
10.02,2.74,1,2.81,,,,
9.68,2.41,,,,,,
9.32,1.96,,,,,,
9.01,1.6,,,,,,
8.67,1.19,,,,,,
8.36,0.81,,,,,,
8.04,0.55,,,,,,
7.71,0.51,,,,,,
7.4,0.44,,,,,,
7.09,0.3,,,,,,
6.77,0.13,,,,,,
6.47,-0.02,,,,,,
6.38,-0.08,,,,,,
6.24,-0.1,,,,,,
6.06,-0.13,,,,,,
5.88,-0.13,,,,,,
