Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
7.07,0.01,,,,,67.31,112.24
7.33,0.07,,,,,,
7.42,0.29,,,,,,
7.93,0.42,,,,,,
8.2,0.49,,,,,,
8.51,0.66,,,,,,
8.85,1.02,,,,,,
9.19,1.39,,,,,,
9.5,1.76,,,,,,
9.82,2.17,,,,,,
10.15,2.59,,,,,,
10.49,3.03,,,,,,
10.83,3.5,,,,,,
11.18,3.98,,,,,,
11.49,4.38,,,,,,
11.79,4.79,,,,,,
12.12,5.16,,,,,,
12.47,5.63,,,,,,
12.83,6.1,,,,,,
13.16,6.52,1,6.48,,,,
13.48,6.9,,,,,,
13.79,7.34,,,,,,
14.11,7.75,,,,,,
14.46,8.27,,,,,,
14.82,8.76,,,,,,
15.16,9.2,,,,,,
15.47,9.59,,,,,,
15.78,10.01,,,,,,
16.11,10.41,,,,,,
16.46,10.86,,,,,,
16.82,11.33,,,,,,
17.16,11.84,,,,,,
17.46,12.25,,,,,,
17.77,12.71,,,,,,
18.1,13.18,,,,,,
18.44,13.63,1,13.62,,,,
18.81,14.12,,,,,,
19.16,14.55,,,,,,
19.48,14.98,,,,,,
19.78,15.38,,,,,,
20.1,15.82,,,,,,
20.44,16.25,,,,,,
20.79,16.75,,,,,,
21.16,17.26,,,,,,
21.47,17.68,,,,,,
21.78,18.13,,,,,,
22.11,18.61,,,,,,
22.45,19.08,,,,,,
22.81,19.58,,,,,,
23.15,20.03,,,,,,
23.47,20.42,,,,,,
23.76,20.82,1,20.81,,,,
24.11,21.21,,,,,,
24.45,21.68,,,,,,
24.81,22.17,,,,,,
25.15,22.64,,,0.91,-1.07,,
1.2,-0.73,,,,,,
1.5,-0.27,,,,,,
1.85,0.21,,,,,,
2.21,0.68,2,0.65,,,,
2.57,1.07,,,,,,
2.93,1.53,,,,,,
3.23,1.93,,,,,,
3.54,2.3,,,,,,
3.86,2.71,,,,,,
4.21,3.16,,,,,,
4.58,3.65,1,3.66,,,,
4.93,4.12,,,,,,
5.26,4.56,,,,,,
5.56,4.97,,,,,,
5.88,5.4,,,,,,
6.23,5.82,,,,,,
6.58,6.24,,,,,,
6.92,6.65,,,,,,
7.25,7.07,,,,,,
7.56,7.45,2,7.37,,,,
7.91,7.8,,,,,,
8.25,8.25,,,,,,
8.61,8.7,,,,,,
8.95,9.14,,,,,,
9.27,9.57,,,,,,
9.59,9.97,,,,,,
9.92,10.37,,,,,,
10.27,10.8,2,10.78,,,,
10.62,11.18,,,,,,
10.97,11.59,,,,,,
11.29,11.95,,,,,,
11.6,12.3,,,,,,
11.93,12.69,,,,,,
12.28,13.08,,,,,,
12.63,13.48,,,,,,
12.68,13.88,,,,,,
13.29,14.25,,,,,,
13.6,14.6,2,14.39,,,,
13.92,14.74,,,,,,
14.28,15.14,,,,,,
14.64,15.5,,,,,,
14.99,15.89,,,,,,
15.3,16.22,,,,,,
15.62,16.6,,,,,,
15.94,16.86,,,,,,
16.29,17.21,,,,,,
16.64,17.56,,,,,,
16.99,17.89,2,17.75,,,,
17.32,18,,,,,,
17.62,18.28,,,,,,
17.95,18.54,,,,,,
18.27,18.89,,,,,,
18.65,19.16,,,,,,
19,19.41,,,,,,
19.32,19.66,,,,,,
19.62,19.84,,,,,,
19.93,20.02,,,,,,
20.25,20.29,,,,,,
20.58,20.42,,,,,,
20.91,20.52,,,,,,
21.2,20.65,,,,,,
21.49,20.77,,,,,,
21.8,20.91,,,,,,
22.11,21.13,,,,,,
22.42,21.21,,,,,,
22.72,21.23,,,,,,
23,21.3,,,,,,
23.27,21.35,,,,,,
23.55,21.37,,,,,,
23.83,21.41,,,,,,
