Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
,0.01,,,,,64.57,109.47,28.5
,0.04,,,,,,,
,0.12,,,,,,,
,0.21,,,,,,,
,0.42,,,,,,,
,0.57,,,,,,,
,0.78,,,,,,,
,1.06,,,,,,,
,1.36,,,,,,,
,1.74,,,,,,,
,2.11,,,,,,,
,2.52,,,,,,,
,2.84,,,,,,,
,3.2,,,,,,,
,3.59,,,,,,,
,4.05,,,,,,,
,4.46,,,,,,,
,4.87,,,,,,,
,5.24,,,,,,,
,5.62,,,,,,,
,6.05,,,,,,,
,6.47,,,,,,,
,6.89,,,,,,,
,7.34,,,,,,,
,7.76,1,7.86,,,,,
,8.29,,,,,,,
,8.7,,,,,,,
,9.18,,,,,,,
,9.67,,,,,,,
,10.05,,,,,,,
,10.51,,,,,,,
,10.92,,,,,,,
,11.39,,,,,,,
,11.83,1,11.91,,,,,
,12.39,,,,,,,
,12.86,,,,,,,
,13.25,,,,,,,
,13.74,,,,,,,
,14.22,,,,,,,
,14.69,,,,,,,
,15.21,1,15.25,,,,,
,15.65,,,,,,,
,16.16,,,,,,,
,16.62,,,,,,,
,17.04,,,,,,,
,17.58,,,,,,,
,18.1,,,,,,,
,18.62,,,,,,,
,19.11,,,,,,,
,19.59,1,19.63,,,,,
,20.05,,,,,,,
,20.53,,,,,,,
,21.09,,,,,,,
,21.58,,,,,,,
,22.04,,,,,,,
,22.56,,,,,,,
,23,,,,,,,
,23.59,1,23.66,,,,,
,24.16,,,,,,,
,24.57,,,,,,,
,24.97,,,,-0.35,,,
,0.22,,,,,,,
,0.72,1,0.77,,,,,
,1.21,,,,,,,
,1.74,,,,,,,
,2.23,,,,,,,
,2.67,,,,,,,
,3.18,,,,,,,
,3.65,,,,,,,
,4.12,,,,,,,
,4.62,,,,,,,
,5.12,,,,,,,
,5.58,,,,,,,
,6.03,2,6.07,,,,,
,6.52,,,,,,,
,7.04,,,,,,,
,7.47,,,,,,,
,7.94,,,,,,,
,8.43,,,,,,,
,8.98,,,,,,,
,9.52,,,,,,,
,9.98,2,10.05,,,,,
,10.44,,,,,,,
,10.9,,,,,,,
,11.36,,,,,,,
,11.88,,,,,,,
,12.31,,,,,,,
,12.83,,,,,,,
,13.38,,,,,,,
,13.8,,,,,,,
,14.23,2,14.26,,,,,
,14.73,,,,,,,
,15.1,,,,,,,
,15.27,,,,,,,
,15.46,,,,,,,
,15.72,,,,,,,
,16.09,,,,,,,
,16.39,,,,,,,
,16.71,,,,,,,
,17.2,,,,,,,
,17.8,,,,,,,
,18.41,,,,,,,
,18.82,,,,,,,
,19.27,,,,,,,
,19.57,,,,,,,
,19.61,,,,,,,
,19.67,,,,,,,
,19.75,,,,,,,
,19.77,,,,,,,
,19.81,,,,,,,
