Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
,21.72,,,,,65.15,109.33,28.5
,21.69,,,,,,,
,21.64,,,,,,,
,21.6,,,,,,,
,21.54,,,,,,,
,21.46,,,,,,,
,21.34,,,,,,,
,21.1,,,,,,,
,20.76,,,,,,,
,20.25,,,,,,,
,19.55,,,,,,,
,18.85,,,,,,,
,18.3,,,,,,,
,17.88,,,,,,,
,17.6,,,,,,,
,17.23,,,,,,,
,16.72,,,,,,,
,16.19,,,,,,,
,15.74,,,,,,,
,15.27,,,,,,,
,14.84,,,,,,,
,14.4,,,,,,,
,13.91,,,,,,,
,13.42,,,,,,,
,12.95,,,,,,,
,12.49,,,,,,,
,11.99,,,,,,,
,11.51,,,,,,,
,11.05,2,11.51,,,,,
,10.51,,,,,,,
,10.09,,,,,,,
,9.61,,,,,,,
,9.12,,,,,,,
,8.67,,,,,,,
,8.16,,,,,,,
,7.64,,,,,,,
,7.15,2,7.55,,,,,
,6.67,,,,,,,
,6.23,,,,,,,
,5.74,,,,,,,
,5.24,,,,,,,
,4.78,,,,,,,
,4.31,,,,,,,
,3.78,,,,,,,
,3.32,2,3.76,,,,,
,2.83,,,,,,,
,2.28,,,,,,,
,1.8,,,,,,,
,1.33,,,,,,,
,0.83,,,,,,,
,0.34,,,,,,,
,-0.17,,,,24.83,,,
,24.33,,,,,,,
,23.83,,,,,,,
,23.34,,,,,,,
,22.85,,,,,,,
,22.33,,,,,,,
,21.82,,,,,,,
,21.33,,,,,,,
,20.8,,,,,,,
,20.28,1,20.75,,,,,
,19.71,,,,,,,
,19.28,,,,,,,
,18.75,,,,,,,
,18.25,,,,,,,
,17.75,,,,,,,
,17.24,,,,,,,
,16.77,,,,,,,
,16.3,1,16.72,,,,,
,15.78,,,,,,,
,15.28,,,,,,,
,14.78,,,,,,,
,14.3,,,,,,,
,13.79,,,,,,,
,13.31,,,,,,,
,12.86,,,,,,,
,12.35,1,12.82,,,,,
,11.88,,,,,,,
,11.46,,,,,,,
,10.97,,,,,,,
,10.49,,,,,,,
,10.06,,,,,,,
,9.58,,,,,,,
,9.14,,,,,,,
,8.71,,,,,,,
,8.27,1,8.67,,,,,
,7.81,,,,,,,
,7.36,,,,,,,
,6.92,,,,,,,
,6.54,,,,,,,
,6.11,,,,,,,
,5.71,,,,,,,
,5.29,,,,,,,
,4.93,,,,,,,
,4.52,1,4.91,,,,,
,4.15,,,,,,,
,3.75,,,,,,,
,3.38,,,,,,,
,3.04,,,,,,,
,2.64,,,,,,,
,2.51,,,,,,,
,2.46,,,,,,,
,2.45,,,,,,,
,2.42,,,,,,,
,2.39,,,,,,,
,2.36,,,,,,,
,2.34,,,,,,,
,2.33,,,,,,,
,2.31,,,,,,,
,2.29,,,,,,,
