Puller Meas. (mm),Carriage Meas. (mm),Num rollers relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
-17.94,18.86,,,,,64.16,105.58,
-17.62,18.85,,,,,,,
-17.3,18.8,,,,,,,
-16.98,18.7,,,,,,,
-16.66,18.4,,,,,,,
-16.37,18.12,,,,,,,
-16.03,17.82,,,,,,,
-15.7,17.46,,,,,,,
-15.34,17.08,,,,,,,
-14.99,16.71,,,,,,,
-14.66,16.37,,,,,,,
-14.36,16.04,,,,,,,
-14.04,15.77,,,,,,,
-13.7,15.37,,,,,,,
-13.34,14.97,,,,,,,
-12.99,14.67,,,,,,,
-12.66,14.28,,,,,,,
-12.35,13.98,,,,,,,
-12.04,13.64,2,13.67,,,,,
-11.68,13.38,,,,,,,
-11.32,13.02,,,,,,,
-10.98,12.64,,,,,,,
-10.65,12.27,,,,,,,
-10.35,11.93,,,,,,,
-10.03,11.67,,,,,,,
-9.68,11.28,,,,,,,
-9.33,10.89,,,,,,,
-8.96,10.52,,,,,,,
-8.63,10.17,,,,,,,
-8.32,9.86,,,,,,,
-8.03,9.54,2,9.62,,,,,
-7.67,9.31,,,,,,,
-7.31,8.91,,,,,,,
-6.97,8.52,,,,,,,
-6.63,8.2,,,,,,,
-6.32,7.87,,,,,,,
-6.02,7.52,,,,,,,
-5.66,7.16,,,,,,,
-5.3,6.75,,,,,,,
-4.95,6.39,,,,,,,
-4.62,6.08,,,,,,,
-4.33,5.75,,,,,,,
-4.02,5.41,2,5.48,,,,,
-3.64,5.1,,,,,,,
-3.3,4.75,,,,,,,
-2.95,4.34,,,,,,,
-2.61,3.97,,,,,,,
-2.3,3.61,,,,,,,
-2,3.3,,,,,,,
-1.64,2.92,,,,,,,
-1.28,2.51,,,,,,,
-0.94,2.14,,,,,,,
-0.61,1.78,,,,,,,
-0.3,1.39,1,1.42,,,,,
0.02,1.11,,,,,,,
0.36,0.72,,,-22.04,23.57,,,
-21.69,23.2,,,,,,,
-21.33,22.86,,,,,,,
-20.99,22.48,,,,,,,
-20.69,22.12,,,,,,,
-20.38,21.78,,,,,,,
-20.04,21.4,,,,,,,
-19.69,21,,,,,,,
-19.33,20.64,,,,,,,
-19.01,20.28,,,,,,,
-18.69,19.91,1,19.92,,,,,
-18.37,19.6,,,,,,,
-18.03,19.24,,,,,,,
-17.68,18.85,,,,,,,
-17.33,18.43,,,,,,,
-16.99,18.09,,,,,,,
-16.68,17.75,,,,,,,
-16.38,17.43,,,,,,,
-15.67,16.67,,,,,,,
-15.33,16.3,,,,,,,
-14.99,15.95,,,,,,,
-14.68,15.62,1,15.63,,,,,
-14.37,15.29,,,,,,,
-14.01,14.93,,,,,,,
-13.66,14.52,,,,,,,
-13.32,14.15,,,,,,,
-12.99,13.81,,,,,,,
-12.67,13.43,,,,,,,
-12.36,13.11,,,,,,,
-11.99,12.72,,,,,,,
-11.66,12.39,,,,,,,
-11.31,12.01,,,,,,,
-10.98,11.66,,,,,,,
-10.67,11.33,1,11.32,,,,,
-10.35,11.01,,,,,,,
-10,10.61,,,,,,,
-9.66,10.24,,,,,,,
-9.33,9.89,,,,,,,
-8.99,9.55,,,,,,,
-8.66,9.21,,,,,,,
-8.34,8.87,,,,,,,
-8,8.51,,,,,,,
-7.65,8.13,,,,,,,
-7.31,7.75,,,,,,,
-6.99,7.43,,,,,,,
-6.66,7.04,1,7.03,,,,,
-6.33,6.71,,,,,,,
-5.99,6.37,,,,,,,
-5.66,6.03,,,,,,,
-5.34,5.71,,,,,,,
-5,5.35,,,,,,,
-4.67,5,,,,,,,
-4.34,4.64,,,,,,,
-3.98,4.29,,,,,,,
-3.65,3.94,,,,,,,
-3.34,3.61,,,,,,,
-3.02,3.27,,,,,,,
-2.66,2.96,1,2.93,,,,,
-2.33,2.59,,,,,,,
-2,2.25,,,,,,,
-1.68,1.95,,,,,,,
-1.33,1.62,,,,,,,
-1,1.28,,,,,,,
-0.68,0.95,,,,,,,
-0.34,0.62,,,,,,,
0.03,0.31,,,,,,,
0.31,0.12,,,,,,,
0.63,-0.09,,,,,,,
0.94,-0.22,,,,,,,
1.28,-0.19,,,,,,,
1.43,-0.18,,,,,,,
1.54,-0.18,,,,,,,
