180 Deg. Turns,Cable Pull (mm),Measurement (deg),Is Outlier
0,,-2.7,
1,,-2.6,
2,,-2.4,
3,,-2.3,
4,,-2.2,
5,,-2.1,
6,,-1.9,
7,,-1.8,
8,,-1.6,
9,,-1.5,
10,,-1.5,
11,,-1.4,
12,,-1.3,
13,,-1.1,
14,,-1,
15,,-1,
16,,-0.9,
17,,-0.8,
18,,-0.7,
19,,-0.6,
20,,-0.6,
21,,-0.5,
22,,-0.3,
23,,-0.3,
24,,-0.3,
25,,-0.2,
26,,-0.1,
27,,0,
28,,0.1,
29,,0.3,
30,,0.4,
31,,0.5,
32,,0.6,
33,,0.7,
34,,0.8,
35,,0.9,
36,,1,
37,,1.2,
38,,1.3,
39,,1.4,
40,,1.4,
