180 Deg. Turns,Cable Pull (mm),Measurement (deg),Is Outlier
0,,-2.6,
1,,-2.5,
2,,-2.4,
3,,-2.3,
4,,-2.1,
5,,-2.1,
6,,-1.9,
7,,-1.8,
8,,-1.7,
9,,-1.6,
10,,-1.4,
11,,-1.3,
12,,-1.3,
13,,-1.2,
14,,-1.1,
15,,-1,
16,,-1,
17,,-0.8,
18,,-0.8,
19,,-0.7,
20,,-0.6,
21,,-0.6,
22,,-0.4,
23,,-0.3,
24,,-0.2,
25,,-0.2,
26,,0,
27,,0.1,
28,,0.1,
29,,0.2,
30,,0.4,
31,,0.4,
32,,0.6,
33,,0.6,
34,,0.7,
35,,0.8,
36,,1,
37,,1.1,
38,,1.2,
39,,1.3,
40,,1.3,
41,,1.4,
