180 Deg. Turns,Cable Pull (mm),Measurement (deg),Is Outlier
0,,-1.5,y
1,,-1.5,
2,,-1.5,
3,,-1.3,
4,,-1.1,
5,,-1.1,
6,,-1,
7,,-0.9,
8,,-0.9,
9,,-0.8,
10,,-0.7,
11,,-0.6,
12,,-0.7,
13,,-0.6,
14,,-0.5,
15,,-0.4,
16,,-0.3,
17,,-0.3,
18,,-0.2,
19,,-0.2,
20,,0,
21,,-0.1,
22,,0.1,
23,,0.2,
