Puller Meas. (mm),Carriage Meas. (mm),Num rollers pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
0.00,0.01,,,,,,,
-0.05,-0.08,,,,,,,
-0.10,-0.09,,,,,,,
-0.33,0.11,,,,,,,
-0.65,0.48,,,,,,,
-0.99,0.84,,,,,,,
-1.34,1.19,,,,,,,
-1.68,1.56,,,,,,,
-2.01,1.91,,,,,,,
-2.33,2.23,,,,,,,
-2.64,2.56,,,,,,,
-2.97,2.92,,,,,,,
-3.31,3.29,,,,,,,
-3.66,3.67,1,3.69,,,,,
-3.99,4.03,,,,,,,
-4.31,4.37,,,,,,,
-4.62,4.70,,,,,,,
-4.96,5.05,,,,,,,
-5.30,5.41,,,,,,,
-5.65,5.78,,,,,,,
-5.99,6.14,,,,,,,
-6.31,6.47,,,,,,,
-6.61,6.82,,,,,,,
-6.94,7.19,,,,,,,
-7.29,7.57,1,7.55,,,,,
-7.65,7.92,,,,,,,
-7.99,8.29,,,,,,,
-8.30,8.59,,,,,,,
-8.61,8.94,,,,,,,
-8.95,9.31,,,,,,,
-9.29,9.68,,,,,,,
-9.64,10.06,,,,,,,
-9.99,10.46,,,,,,,
-10.32,10.82,,,,,,,
-10.61,11.13,,,,,,,
-10.95,11.51,1,11.52,,,,,
-11.29,11.88,,,,,,,
-11.65,12.29,,,,,,,
-11.99,12.63,,,,,,,
-12.31,12.99,,,,,,,
-12.62,13.33,,,,,,,
-12.94,13.67,,,,,,,
-13.29,14.05,,,,,,,
-13.64,14.42,,,,,,,
-14.00,14.82,,,,,,,
-14.31,15.16,,,,,,,
-14.62,15.49,,,,,,,
-14.95,15.84,1,15.84,,,,,
-15.29,16.22,,,,,,,
-15.67,16.63,,,,,,,
-16.00,16.98,,,,,,,
-16.31,17.33,,,,,,,
-16.62,17.66,,,,,,,
-16.95,18.02,,,,,,,
-17.31,18.40,,,,,,,
-17.66,18.81,,,,,,,
-18.00,19.18,,,,,,,
-18.33,19.53,1,19.52,,,,,
-18.63,19.83,,,,,,,
-18.95,20.19,,,,,,,
-19.30,20.57,,,,,,,
-19.66,20.94,,,,,,,
-20.00,21.31,,,,,,,
-20.32,21.68,,,,,,,
-20.63,21.99,,,,,,,
-20.96,22.34,,,-1.63,-0.16,,,
-1.98,0.22,,,,,,,
-2.35,0.59,,,,,,,
-2.70,0.99,1,1.03,,,,,
-3.01,1.35,,,,,,,
-3.33,1.69,,,,,,,
-3.65,2.03,,,,,,,
-4.01,2.43,,,,,,,
-4.36,2.79,,,,,,,
-4.70,3.14,,,,,,,
-5.03,3.49,,,,,,,
-5.34,3.85,,,,,,,
-5.67,4.20,,,,,,,
-6.00,4.55,,,,,,,
-6.38,4.97,2,4.99,,,,,
-6.71,5.33,,,,,,,
-7.03,5.64,,,,,,,
-7.35,5.99,,,,,,,
-7.68,6.33,,,,,,,
-8.01,6.70,,,,,,,
-8.38,7.09,,,,,,,
-8.72,7.45,,,,,,,
-9.04,7.82,,,,,,,
-9.36,8.14,,,,,,,
-9.68,8.41,,,,,,,
-10.02,8.84,2,8.85,,,,,
-10.38,9.21,,,,,,,
-10.68,9.30,,,,,,,
-10.97,9.39,,,,,,,
-11.24,9.46,,,,,,,
-11.53,9.54,,,,,,,
-11.82,9.58,,,,,,,
-12.13,9.59,,,,,,,
-12.42,9.62,,,,,,,
-12.69,9.64,,,,,,,
-12.95,9.68,,,,,,,
-13.23,9.73,,,,,,,
-13.53,9.77,,,,,,,
-13.83,9.75,,,,,71.41,103.75,
