Puller Meas. (mm),Carriage Meas. (mm),Num rollers pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
0.00,0.00,,,,,,,
-0.27,0.08,,,,,,,
-0.67,0.38,,,,,,,
-1.32,0.92,,,,,,,
-1.98,1.54,,,,,,,
-2.65,2.20,,,,,,,
-3.28,2.84,,,,,,,
-3.95,3.50,,,,,,,
-4.27,3.81,1,3.83,,,,,
-4.90,4.42,,,,,,,
-5.57,5.09,,,,,,,
-6.26,5.76,,,,,,,
-6.89,6.43,,,,,,,
-7.54,7.09,,,,,,,
-8.24,7.89,1,7.86,,,,,
-8.87,8.52,,,,,,,
-9.55,9.21,,,,,,,
-10.24,9.93,,,,,,,
-10.85,10.55,,,,,,,
-11.53,11.29,,,,,,,
-12.23,12.06,1,12.06,,,,,
-12.84,12.69,,,,,,,
-13.52,13.43,,,,,,,
-14.21,14.16,,,,,,,
-14.82,14.81,,,,,,,
-15.51,15.60,,,,,,,
-16.22,16.36,1,16.38,,,,,
-16.82,17.00,,,,,,,
-17.52,17.76,,,,,,,
-18.20,18.48,,,,,,,
-18.82,19.13,,,,,,,
-19.50,19.89,,,,,,,
-20.21,20.68,1,20.67,,,,,
-20.83,21.34,,,,,,,
-21.51,22.08,,,-2.07,0.29,,,
-2.79,1.05,,,,,,,
-3.39,1.73,,,,,,,
-4.09,2.49,1,2.49,,,,,
-4.80,3.26,,,,,,,
-5.41,3.93,,,,,,,
-6.09,4.62,,,,,,,
-6.79,5.40,,,,,,,
-7.40,6.03,,,,,,,
-8.10,6.80,2,6.82,,,,,
-8.80,7.56,,,,,,,
-9.42,8.24,,,,,,,
-10.10,8.96,,,,,,,
-10.81,9.72,,,,,,,
-11.43,10.42,2,10.46,,,,,
-12.12,11.17,,,,,,,
-12.81,11.86,,,,,,,
-13.44,12.58,,,,,,,
-14.12,13.23,,,,,,,
-14.82,13.96,,,,,,,
-15.45,14.62,3,14.76,,,,,
-16.13,15.45,,,,,,,
-16.82,16.15,,,,,,,
-17.46,16.85,,,,,,,
-18.13,17.54,,,,,,,
-18.84,18.26,,,,,,,
-19.46,18.87,3,19.03,,,,,
-20.13,19.65,,,,,,,
-20.82,20.21,,,,,,,
-21.46,21.06,,,,,,,
-22.13,21.77,,,,,,,
-22.82,22.49,,,,,,,
-23.45,23.24,3,23.34,,,,,
-24.09,23.98,,,,,,,
-24.78,24.62,,,,,65.54,111.66,
