Puller Meas. (mm),Carriage Meas. (mm),Num rollers pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
0.00,0.01,,,,,,,
-0.28,0.04,,,,,,,
-0.51,0.20,,,,,,,
-1.17,0.77,,,,,,,
-1.80,1.32,,,,,,,
-2.46,1.95,,,,,,,
-3.12,2.60,,,,,,,
-3.76,3.20,,,,,,,
-4.44,3.89,1,3.89,,,,,
-5.07,4.56,,,,,,,
-5.74,5.22,,,,,,,
-6.42,5.88,,,,,,,
-7.05,6.57,,,,,,,
-7.71,7.23,,,,,,,
-8.41,7.99,1,7.98,,,,,
-9.03,8.58,,,,,,,
-9.72,9.28,,,,,,,
-10.40,9.99,,,,,,,
-11.02,10.69,,,,,,,
-11.71,11.42,,,,,,,
-12.40,12.18,1,12.20,,,,,
-13.01,12.82,,,,,,,
-13.71,13.56,,,,,,,
-14.39,14.31,,,,,,,
-15.01,14.98,,,,,,,
-15.70,15.74,,,,,,,
-16.39,16.45,1,16.48,,,,,
-17.01,17.12,,,,,,,
-17.69,17.85,,,,,,,
-18.39,18.66,,,,,,,
-19.01,19.33,,,,,,,
-19.69,20.06,1,20.08,,,,,
-20.37,20.83,,,,,,,
-21.00,21.48,,,,,,,
-21.69,22.26,,,,,,,
-22.37,22.99,,,,,,,
-23.00,23.67,1,23.69,-0.73,-0.06,,,
-1.41,0.68,,,,,,,
-2.12,1.41,,,,,,,
-2.73,2.06,,,,,,,
-3.43,2.85,,,,,,,
-4.12,3.57,2,3.64,,,,,
-4.76,4.33,,,,,,,
-5.42,5.06,,,,,,,
-6.12,5.75,,,,,,,
-6.74,6.38,,,,,,,
-7.43,7.12,,,,,,,
-8.12,7.86,2,7.97,,,,,
-8.76,8.65,,,,,,,
-9.44,9.34,,,,,,,
-10.14,10.08,,,,,,,
-10.77,10.80,,,,,,,
-11.45,11.46,,,,,,,
-12.15,12.19,3,12.33,,,,,
-12.77,12.93,,,,,,,
-13.46,13.62,,,,,,,
-14.15,14.36,,,,,,,
-14.78,15.04,,,,,,,
-15.45,15.74,,,,,,,
-16.16,16.40,3,16.56,,,,,
-16.79,17.09,,,,,,,
-17.45,17.91,,,,,,,
-18.16,18.60,,,,,,,
-18.79,19.32,,,,,,,
-19.46,20.01,,,,,,,
-20.15,20.75,3,20.86,,,,,
-20.78,21.46,,,,,,,
-21.43,22.21,,,,,,,
-22.12,22.91,,,,,,,
-22.74,23.55,,,,,,,
-23.38,24.31,,,,,,,
-24.02,24.56,,,,,,,
-24.55,24.57,,,,,,,
-25.10,24.58,,,,,65.31,113.39,
