Puller Meas. (mm),Carriage Meas. (mm),Num rollers relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
-23.89,22.33,,,,,,,
-23.58,22.29,,,,,,,
-23.33,22.32,,,,,,,
-23.05,22.22,,,,,,,
-22.78,22.21,,,,,,,
-22.48,22.15,,,,,,,
-22.14,21.84,,,,,,,
-21.80,21.54,,,,,,,
-21.47,21.13,,,,,,,
-21.17,20.81,,,,,,,
-20.85,20.42,,,,,,,
-20.50,20.05,,,,,,,
-20.14,19.63,,,,,,,
-19.81,19.23,,,,,,,
-19.47,18.93,,,,,,,
-19.17,18.54,3,18.48,,,,,
-18.84,18.12,,,,,,,
-18.50,17.82,,,,,,,
-18.14,17.34,,,,,,,
-17.78,17.02,,,,,,,
-17.47,16.63,,,,,,,
-17.17,16.27,,,,,,,
-16.85,15.92,,,,,,,
-16.50,15.60,,,,,,,
-16.15,15.21,,,,,,,
-15.80,14.84,3,14.72,,,,,
-15.46,14.42,,,,,,,
-15.15,14.05,,,,,,,
-14.83,13.67,,,,,,,
-14.49,13.31,,,,,,,
-14.13,12.94,,,,,,,
-13.78,12.60,,,,,,,
-13.45,12.26,,,,,,,
-13.14,11.92,,,,,,,
-12.84,11.64,,,,,,,
-12.47,11.23,,,,,,,
-12.13,10.89,3,10.86,,,,,
-11.76,10.54,,,,,,,
-11.44,10.21,,,,,,,
-11.12,9.85,,,,,,,
-10.81,9.52,,,,,,,
-10.48,9.17,,,,,,,
-10.10,8.77,,,,,,,
-9.75,8.43,,,,,,,
-9.42,8.07,,,,,,,
-9.11,7.75,,,,,,,
-8.81,7.43,,,,,,,
-8.45,7.09,2,7.03,,,,,
-8.10,6.65,,,,,,,
-7.75,6.30,,,,,,,
-7.42,5.93,,,,,,,
-7.11,5.59,,,,,,,
-6.79,5.29,,,,,,,
-6.44,4.90,,,,,,,
-6.09,4.53,,,,,,,
-5.74,4.15,,,,,,,
-5.41,3.79,,,,,,,
-5.10,3.45,2,3.44,,,,,
-4.78,3.10,,,,,,,
-4.43,2.75,,,,,,,
-4.08,2.34,,,,,,,
-3.73,1.99,,,,,,,
-3.38,1.56,,,,,,,
-3.08,1.26,,,,,,,
-2.76,0.91,,,,,,,
-2.41,0.52,,,,,,,
-2.06,0.14,,,-23.61,23.75,,,
-23.26,23.36,1,23.33,,,,,
-22.92,22.96,,,,,,,
-22.62,22.63,,,,,,,
-22.31,22.29,,,,,,,
-21.94,21.91,,,,,,,
-21.59,21.51,,,,,,,
-21.26,21.16,,,,,,,
-20.92,20.77,,,,,,,
-20.61,20.45,,,,,,,
-20.29,20.11,,,,,,,
-19.94,19.70,1,19.69,,,,,
-19.60,19.35,,,,,,,
-19.26,18.99,,,,,,,
-18.92,18.60,,,,,,,
-18.61,18.25,,,,,,,
-18.29,17.92,,,,,,,
-17.93,17.52,,,,,,,
-17.58,17.17,,,,,,,
-17.25,16.78,,,,,,,
-16.91,16.44,,,,,,,
-16.59,16.09,1,16.07,,,,,
-16.28,15.73,,,,,,,
-15.93,15.38,,,,,,,
-15.57,14.97,,,,,,,
-15.23,14.60,,,,,,,
-14.90,14.23,,,,,,,
-14.59,13.93,,,,,,,
-14.27,13.55,,,,,,,
-13.92,13.19,,,,,,,
-13.58,12.84,,,,,,,
-13.23,12.45,1,12.46,,,,,
-12.91,12.11,,,,,,,
-12.58,11.73,,,,,,,
-12.25,11.41,,,,,,,
-11.92,11.02,,,,,,,
-11.58,10.63,,,,,,,
-11.24,10.27,,,,,,,
-10.90,9.92,,,,,,,
-10.58,9.58,,,,,,,
-10.27,9.25,,,,,,,
-9.92,8.88,1,8.89,,,,,
-9.57,8.56,,,,,,,
-9.25,8.22,,,,,,,
-8.91,7.85,,,,,,,
-8.58,7.52,,,,,,,
-8.26,7.18,,,,,,,
-7.92,6.79,,,,,,,
-7.58,6.45,,,,,,,
-7.25,6.11,,,,,,,
-6.91,5.75,,,,,,,
-6.59,5.40,,,,,,,
-6.25,5.08,1,5.03,,,,,
-5.91,4.65,,,,,,,
-5.57,4.33,,,,,,,
-5.25,4.00,,,,,,,
-4.91,3.69,,,,,,,
-4.57,3.37,,,,,,,
-4.25,3.02,,,,,,,
-3.91,2.69,,,,,,,
-3.58,2.39,,,,,,,
-3.25,2.07,,,,,,,
-2.92,1.72,,,,,,,
-2.60,1.37,,,,,,,
-2.24,1.08,,,,,,,
-1.91,0.77,,,,,,,
-1.59,0.49,,,,,,,
-1.27,0.21,,,,,,,
-0.94,-0.08,,,,,,,
-0.60,-0.43,,,,,,,
-0.26,-0.72,,,,,,,
0.09,-1.13,,,,,,,
0.40,-1.31,,,,,,,
0.71,-1.57,,,,,,,
1.04,-1.92,,,,,,,
1.37,-1.94,,,,,,,
1.48,-1.94,,,,,,,
1.63,-1.94,,,,,,,
1.81,-1.94,,,,,,,
1.82,-1.94,,,,,65.27,113.56,
