Puller Meas. (mm),Carriage Meas. (mm),Num rollers relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
-25.21,23.38,,,,,,,
-24.58,23.31,,,,,,,
-24.04,23.29,,,,,,,
-23.40,22.80,,,,,,,
-22.73,22.11,,,,,,,
-22.10,21.41,,,,,,,
-21.38,20.56,,,,,,,
-20.72,19.86,,,,,,,
-20.10,19.11,3,19.03,,,,,
-19.40,18.32,,,,,,,
-18.72,17.63,,,,,,,
-18.10,16.92,,,,,,,
-17.38,16.18,,,,,,,
-16.72,15.56,,,,,,,
-16.09,14.84,3,14.76,,,,,
-15.39,14.07,,,,,,,
-14.71,13.33,,,,,,,
-14.09,12.68,,,,,,,
-13.38,11.97,,,,,,,
-12.70,11.23,,,,,,,
-12.07,10.57,3,10.53,,,,,
-11.36,9.80,,,,,,,
-10.68,9.06,,,,,,,
-10.06,8.43,,,,,,,
-9.36,7.65,,,,,,,
-8.68,6.90,2,6.88,,,,,
-8.04,6.26,,,,,,,
-7.35,5.51,,,,,,,
-6.66,4.73,,,,,,,
-6.04,4.08,,,,,,,
-5.33,3.33,,,,,,,
-4.64,2.59,2,2.56,,,,,
-4.02,1.91,,,,,,,
-3.33,1.18,,,,,,,
-2.64,0.38,,,,,,,
-2.01,-0.29,,,-24.93,23.73,,,
-24.22,22.95,1,22.94,,,,,
-23.55,22.23,,,,,,,
-22.93,21.55,,,,,,,
-22.23,20.78,,,,,,,
-21.56,20.04,,,,,,,
-20.92,19.35,1,19.33,,,,,
-20.22,18.57,,,,,,,
-19.55,17.84,,,,,,,
-18.91,17.14,,,,,,,
-18.23,16.41,,,,,,,
-17.54,15.67,1,15.66,,,,,
-16.91,14.99,,,,,,,
-16.22,14.27,,,,,,,
-15.54,13.53,,,,,,,
-14.90,12.82,,,,,,,
-14.21,12.12,,,,,,,
-13.54,11.37,1,11.39,,,,,
-12.89,10.70,,,,,,,
-12.22,9.98,,,,,,,
-11.54,9.30,,,,,,,
-10.90,8.60,,,,,,,
-10.22,7.90,,,,,,,
-9.54,7.19,1,7.20,,,,,
-8.89,6.55,,,,,,,
-8.23,5.88,,,,,,,
-7.57,5.21,,,,,,,
-6.88,4.53,,,,,,,
-6.23,3.88,,,,,,,
-5.57,3.24,1,3.21,,,,,
-4.90,2.55,,,,,,,
-4.24,1.91,,,,,,,
-3.58,1.30,,,,,,,
-2.90,0.69,,,,,,,
-2.26,0.08,,,,,,,
-1.61,-0.45,,,,,,,
-1.16,-0.77,,,,,,,
-0.83,-0.95,,,,,,,
-0.60,-1.02,,,,,65.28,113.69,
