Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,14.65,,,,,67.31,103.89,,
,14.52,,,,,,,,
,14.42,,,,,,,,
,14.25,,,,,,,,
,14.09,,,,,,,,
,13.92,,,,,,,,
,13.58,,,,,,,,
,13.17,,,,,,,,
,12.75,,,,,,,,
,12.35,,,,,,,,
,11.95,,,,,,,,
,11.55,,,,,,,,
,11.01,,,,,,,,
,10.56,,,,,,,,
,10.12,2,10.07,,,,,,
,9.63,,,,,,,,
,9.21,,,,,,,,
,8.78,,,,,,,,
,8.28,,,,,,,,
,7.76,,,,,,,,
,7.28,,,,,,,,
,6.84,,,,,,,,
,6.39,,,,,,,,
,5.91,1,5.9,,,,,,
,5.42,,,,,,,,
,4.85,,,,,,,,
,4.37,,,,,,,,
,3.86,,,,,,,,
,3.39,,,,,,,,
,2.87,,,,,,,,
,2.28,,,,,,,,
,1.66,1,1.67,,,,,,
,1.12,,,,,,,,
,0.59,,,,,,,,
,0.1,,,,23.89,,,,
,23.25,,,,,,,,
,22.64,,,,,,,,
,22.01,,,,,,,,
,21.52,1,21.41,,,,,,
,20.96,,,,,,,,
,20.41,,,,,,,,
,19.89,,,,,,,,
,19.29,,,,,,,,
,18.58,,,,,,,,
,18,,,,,,,,
,17.46,1,17.4,,,,,,
,16.88,,,,,,,,
,16.34,,,,,,,,
,15.71,,,,,,,,
,14.99,,,,,,,,
,14.43,,,,,,,,
,13.83,1,13.76,,,,,,
,13.29,,,,,,,,
,12.75,,,,,,,,
,12.01,,,,,,,,
,11.4,,,,,,,,
,10.81,,,,,,,,
,10.19,,,,,,,,
,9.69,,,,,,,,
,9.06,,,,,,,,
,8.42,,,,,,,,
,7.8,,,,,,,,
,7.19,,,,,,,,
,6.6,,,,,,,,
,6.03,,,,,,,,
,5.42,1,5.32,,,,,,
,4.77,,,,,,,,
,4.1,,,,,,,,
,3.51,,,,,,,,
,2.94,,,,,,,,
,2.33,,,,,,,,
,1.84,,,,,,,,
,1.61,,,,,,,,
,1.57,,,,,,,,
,1.56,,,,,,,,
,1.57,,,,,,,,
,1.6,,,,,,,,
,1.61,,,,,,,,
,1.62,,,,,,,,
,1.62,,,,,,,,
,1.61,,,,,,,,
,1.62,,,,,,,,
