180 Deg. Turns,Cable Pull (mm),Measurement (deg),Is Outlier
0,,-0.5,
1,,-0.4,
2,,-0.4,
3,,-0.3,
4,,-0.2,
5,,0,
6,,-0.1,
7,,0,
8,,0.1,
9,,0.2,
10,,0.2,
11,,0.4,
12,,0.3,
13,,0.4,
14,,0.4,
15,,0.5,
16,,0.5,
17,,0.5,
18,,0.6,
19,,0.6,
20,,0.7,
21,,0.8,
22,,0.9,
23,,0.9,
24,,0.9,
25,,0.9,
26,,1,
27,,1.2,
28,,1.2,
29,,1.3,
