180 Deg. Turns,Cable Pull (mm),Measurement (deg),Is Outlier
0,,-0.6,
1,,-0.5,
2,,-0.4,
3,,-0.3,
4,,-0.3,
5,,-0.1,
6,,0,
7,,0,
8,,0,
9,,0,
10,,0.1,
11,,0.3,
12,,0.3,
13,,0.3,
14,,0.4,
15,,0.5,
16,,0.5,
17,,0.6,
18,,0.6,
19,,0.6,
20,,0.6,
21,,0.8,
22,,0.7,
23,,0.8,
24,,0.8,
25,,1,
26,,0.9,
27,,1,
28,,1.1,
29,,1.2,
30,,1.3,
