Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
0,0.02,,,,,64.28,112.13
0.33,0.08,,,,,,
0.67,0.15,,,,,,
1,0.33,,,,,,
1.33,0.54,,,,,,
1.67,0.8,,,,,,
2,1.13,,,,,,
2.33,1.46,,,,,,
2.67,1.88,,,,,,
3,2.24,,,,,,
3.33,2.57,,,,,,
3.67,2.94,,,,,,
4,3.37,,,,,,
4.33,3.8,,,,,,
4.67,4.23,,,,,,
5,4.65,,,,,,
5.33,5.06,,,,,,
5.67,5.49,,,,,,
6,5.91,,,,,,
6.33,6.35,,,,,,
6.67,6.83,,,,,,
7,7.24,,,,,,
7.33,7.65,,,,,,
7.67,8.08,,,,,,
8,8.5,,,,,,
8.33,8.99,,,,,,
8.67,9.48,,,,,,
9,9.96,,,,,,
9.33,10.38,,,,,,
9.67,10.84,1,10.77,,,,
10,11.15,,,,,,
10.33,11.66,,,,,,
10.67,12.17,,,,,,
11,12.64,,,,,,
11.33,13.09,,,,,,
11.67,13.55,,,,,,
12,14.08,,,,,,
12.33,14.55,,,,,,
12.67,15.07,,,,,,
13,15.54,,,,,,
13.33,15.96,,,,,,
13.67,16.45,,,,,,
14,16.94,,,,,,
14.33,17.46,,,,,,
14.67,17.95,,,,,,
15,18.46,1,18.49,,,,
15.33,18.94,,,,,,
15.67,19.41,,,,,,
16,19.93,,,,,,
16.33,20.43,,,,,,
16.67,20.97,,,,,,
17,21.47,,,,,,
17.33,21.88,,,,,,
17.67,22.38,1,22.35,,,,
18,22.81,,,,,,
18.33,23.35,,,,,,
18.67,23.83,,,,-0.45,,
19,0.18,,,,,,
19.33,0.6,,,,,,
19.67,1.01,,,,,,
20,1.52,,,,,,
20.33,2.1,1,2.19,,,,
20.67,2.7,,,,,,
21,3.17,,,,,,
21.33,3.6,,,,,,
21.67,4.11,,,,,,
22,4.6,,,,,,
22.33,5.13,,,,,,
22.67,5.63,1,5.67,,,,
23,6.14,,,,,,
23.33,6.62,,,,,,
23.67,7.11,,,,,,
24,7.58,,,,,,
24.33,8.11,,,,,,
24.67,8.69,,,,,,
25,9.2,1,9.22,,,,
25.33,9.64,,,,,,
25.67,10.03,,,,,,
26,10.54,,,,,,
26.33,11.01,,,,,,
26.67,11.48,,,,,,
27,12.03,,,,,,
27.33,12.53,,,,,,
27.67,12.95,2,12.92,,,,
28,13.39,,,,,,
28.33,13.79,,,,,,
28.67,14.4,,,,,,
29,14.89,,,,,,
29.33,15.41,,,,,,
29.67,15.8,,,,,,
30,16.22,,,,,,
30.33,16.67,,,,,,
30.67,17.28,2,17.27,,,,
31,17.53,,,,,,
31.33,18.03,,,,,,
31.67,18.4,,,,,,
32,18.92,,,,,,
32.33,19.41,,,,,,
32.67,19.87,,,,,,
33,20.26,,,,,,
33.33,20.72,,,,,,
33.67,21.08,,,,,,
34,21.44,,,,,,
34.33,21.66,,,,,,
34.67,21.96,,,,,,
35,22.17,,,,,,
35.33,22.51,,,,,,
35.67,22.82,,,,,,
36,22.93,,,,,,
36.33,23.17,,,,,,
36.67,23.48,,,,,,
