Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
33,24.12,,,,,64.43,111.97
32.67,24.12,,,,,,
32.33,24.01,,,,,,
32,23.88,,,,,,
31.67,23.73,,,,,,
31.33,23.53,,,,,,
31,23.23,,,,,,
30.67,22.84,,,,,,
30.33,22.47,,,,,,
30,22.02,,,,,,
29.67,21.57,,,,,,
29.33,21.2,,,,,,
29,20.55,,,,,,
28.67,20.1,,,,,,
28.33,19.66,,,,,,
28,19.08,,,,,,
27.67,18.57,,,,,,
27.33,18.05,,,,,,
27,17.57,,,,,,
26.67,17.15,,,,,,
26.33,16.63,,,,,,
26,16.11,,,,,,
25.67,15.64,,,,,,
25.33,15.22,,,,,,
25,14.7,,,,,,
24.67,14.3,,,,,,
24.33,13.84,,,,,,
24,13.31,,,,,,
23.67,12.88,2,12.88,,,,
23.33,12.39,,,,,,
23,11.99,,,,,,
22.67,11.51,,,,,,
22.33,11,,,,,,
22,10.49,,,,,,
21.67,10.04,,,,,,
21.33,9.54,1,9.58,,,,
21,9.16,,,,,,
20.67,8.65,,,,,,
20.33,8.14,,,,,,
20,7.62,,,,,,
19.67,7.14,,,,,,
19.33,6.6,,,,,,
19,6.11,1,6.14,,,,
18.67,5.69,,,,,,
18.33,5.16,,,,,,
18,4.63,,,,,,
17.67,4.15,,,,,,
17.33,3.64,,,,,,
17,3.17,,,,,,
16.67,2.7,,,,,,
16.33,2.21,1,2.22,,,,
16,1.73,,,,,,
15.67,1.22,,,,,,
15.33,0.74,,,,,,
15,0.24,,,,,,
14.67,-0.23,,,,24.15,,
14.33,23.59,,,,,,
14,23.09,,,,,,
13.67,22.61,1,22.61,,,,
13.33,22.18,,,,,,
13,21.68,,,,,,
12.67,21.21,,,,,,
12.33,20.68,,,,,,
12,20.13,,,,,,
11.67,19.67,,,,,,
11.33,19.17,1,19.14,,,,
11,18.75,,,,,,
10.67,18.28,,,,,,
10.33,17.76,,,,,,
10,17.25,,,,,,
9.67,16.82,,,,,,
9.33,16.28,,,,,,
9,15.81,,,,,,
8.67,15.37,1,15.33,,,,
8.33,14.87,,,,,,
8,14.37,,,,,,
7.67,13.91,,,,,,
7.33,13.41,,,,,,
7,13,,,,,,
6.67,12.51,,,,,,
6.33,12.03,,,,,,
6,11.51,,,,,,
5.67,11.05,,,,,,
5.33,10.57,,,,,,
5,10.13,,,,,,
4.67,9.66,,,,,,
4.33,9.18,,,,,,
4,8.73,,,,,,
3.67,8.26,,,,,,
3.33,7.83,,,,,,
3,7.42,1,7.41,,,,
2.67,7.06,,,,,,
2.33,6.56,,,,,,
2,6.12,,,,,,
1.67,5.69,,,,,,
1.33,5.29,,,,,,
1,4.83,,,,,,
0.67,4.47,,,,,,
0.33,4.07,,,,,,
0,3.61,,,,,,
-0.33,3.29,,,,,,
-0.67,2.92,,,,,,
-1,2.56,,,,,,
-1.33,2.23,,,,,,
-1.67,1.82,,,,,,
-2,1.44,,,,,,
-2.33,1.17,,,,,,
-2.67,0.92,,,,,,
-3,0.79,,,,,,
-3.33,0.71,,,,,,
-3.67,0.7,,,,,,
-4,0.69,,,,,,
-4.33,0.68,,,,,,
-4.67,0.68,,,,,,
-5,0.7,,,,,,
