Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
,0.02,,,,,64.17,110.97
,0.05,,,,,,
,0.05,,,,,,
,0.08,,,,,,
,0.17,,,,,,
,0.28,,,,,,
,0.43,,,,,,
,0.6,,,,,,
,0.97,,,,,,
,1.29,,,,,,
,1.7,,,,,,
,2.04,,,,,,
,2.43,,,,,,
,2.79,,,,,,
,3.17,,,,,,
,3.67,,,,,,
,4.02,,,,,,
,4.38,,,,,,
,4.8,,,,,,
,5.19,,,,,,
,5.7,,,,,,
,6.17,,,,,,
,6.62,,,,,,
,7.01,,,,,,
,7.45,,,,,,
,7.94,,,,,,
,8.39,,,,,,
,8.9,,,,,,
,9.32,,,,,,
,9.74,,,,,,
,10.19,,,,,,
,10.67,,,,,,
,11.16,1,11.17,,,,
,11.6,,,,,,
,12.07,,,,,,
,12.49,,,,,,
,12.94,,,,,,
,13.49,,,,,,
,13.96,,,,,,
,14.44,,,,,,
,14.98,,,,,,
,15.35,,,,,,
,15.88,,,,,,
,16.31,,,,,,
,16.78,,,,,,
,17.4,,,,,,
,17.88,,,,,,
,18.31,1,18.4,,,,
,18.79,,,,,,
,19.24,,,,,,
,19.81,,,,,,
,20.35,,,,,,
,20.86,,,,,,
,21.3,,,,,,
,21.79,,,,,,
,22.31,1,22.36,,,,
,22.77,,,,,,
,23.35,,,,,,
,23.81,,,,0.61,,
,1.14,,,,,,
,1.61,,,,,,
,2.1,,,,,,
,2.65,1,2.73,,,,
,3.14,,,,,,
,3.67,,,,,,
,4.16,,,,,,
,4.6,,,,,,
,5.09,,,,,,
,5.62,,,,,,
,6.23,,,,,,
,6.73,1,6.76,,,,
,7.14,,,,,,
,7.73,,,,,,
,8.16,,,,,,
,8.73,,,,,,
,9.28,,,,,,
,9.77,,,,,,
,10.21,,,,,,
,10.72,,,,,,
,11.23,,,,,,
,11.77,,,,,,
,12.32,,,,,,
,12.75,,,,,,
,13.23,,,,,,
,13.72,1,13.77,,,,
,14.14,,,,,,
,14.62,,,,,,
,15.12,,,,,,
,15.61,,,,,,
,16.04,,,,,,
,16.5,,,,,,
,17.02,,,,,,
,17.38,,,,,,
,17.91,2,17.97,,,,
,18.29,,,,,,
,18.69,,,,,,
,19.23,,,,,,
,19.66,,,,,,
,20.18,,,,,,
,20.64,,,,,,
,21.05,,,,,,
,21.54,,,,,,
,21.91,,,,,,
,22.37,,,,,,
,22.72,,,,,,
,23.11,,,,,,
,23.49,,,,,,
