Set,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Direction,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing
Date/Time,6/10/2024 14:43,6/10/2024 14:43,6/10/2024 14:43,6/10/2024 14:43,6/10/2024 14:43,6/10/2024 14:43,6/10/2024 14:43,6/10/2024 14:43,6/10/2024 14:43,6/10/2024 14:43,6/10/2024 14:43,6/10/2024 14:43,6/10/2024 14:47,6/10/2024 14:47,6/10/2024 14:47,6/10/2024 14:47,6/10/2024 14:47,6/10/2024 14:47,6/10/2024 14:47,6/10/2024 14:47,6/10/2024 14:47,6/10/2024 14:47,6/10/2024 14:47,6/10/2024 14:47
10 (least pull),,25.23,,25.24,,25.23,,25.23,,25.23,,25.23,,,,,,,,,,,,
9,20.52,20.61,20.53,20.6,20.52,20.6,20.52,20.6,20.52,20.6,20.52,20.6,,,,,,,,,,,,
8,17.02,17.14,17.03,17.14,17.04,17.14,17.04,17.14,17.05,17.13,17.04,17.13,,25.5,,25.51,,25.51,,25.51,,25.52,,25.52
7,13.66,13.76,13.66,13.74,13.67,13.75,13.66,13.75,13.67,13.75,13.66,13.75,22.05,22.12,22.06,22.13,22.06,22.12,22.06,22.14,22.07,22.14,22.07,22.16
6,10.44,10.49,10.45,10.5,10.45,10.51,10.45,10.5,10.45,10.49,10.45,10.5,18.81,18.86,18.81,18.87,18.82,18.9,18.82,18.88,18.82,18.89,18.83,18.9
5,7.07,7.09,7.07,7.1,7.07,7.1,7.07,7.1,7.07,7.1,7.07,7.1,15.44,15.47,15.44,15.48,15.44,15.48,15.45,15.48,15.45,15.49,15.46,15.5
4,3.62,3.64,3.62,3.65,3.62,3.65,3.62,3.65,3.63,3.65,3.62,3.65,11.99,12.01,11.99,12.02,12,12.02,12,12.03,12,12.03,12,12.04
3,-0.03,,-0.02,,-0.02,,-0.02,,-0.02,,-0.02,,8.34,8.37,8.34,8.37,8.35,8.38,8.35,8.38,8.36,8.39,8.36,8.39
2,,,,,,,,,,,,,4.55,4.58,4.56,4.58,4.56,4.59,4.56,4.59,4.57,4.6,4.57,4.6
1 (most pull),,,,,,,,,,,,,0,,0.01,,0.01,,0.01,,0.02,,0.03,
