brand,name,shifterPartNumber,shifterName,shifterBrand,shifterSpeeds,shifterCablePull,shifterType,shifterSide,derailleurPartNumber,derailleurName,derailleurBrand,derailleurDesignSpeeds,derailleurPullRatio,derailleurSupportsMultipleFrontChainrings,cassettePartNumber,cassetteName,cassetteBrand,cassetteSpeeds,cassettePitch,cassetteMinMaxToothAvailable,cassetteMaxToothAvailable,confidence,supported,confidence_too_low,max_chain_angle_too_high,barrel_adjuster_too_low,least_pull_too_low,not_enough_range_on_derailleur,smallest_cassette_too_big_official_max_tooth,smallest_cassette_too_big_unofficial_max_tooth,smallest_cassette_too_big_with_goat_link,smallest_cassette_too_big,maxChainAngle,motionMultiplier,numberOfShiftsMatchesCogs,moreCogsThanShifts,failedAnyCriteria
Mixed,Campagnolo Daytona 9-Speed shifter/Microshift Advent X 10-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M6205AM,Advent X,Microshift,10,1.05,False,sram-11-speed,SRAM 11-speed,SRAM,11,3.72,,51,5.694382304874793e-10,False,True,True,False,False,False,False,,,False,2.1936622054416435,1.2121340267774214,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Microshift Advent X 10-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M6205AM,Advent X,Microshift,10,1.05,False,shimano-11-speed,Shimano 11-speed,Shimano,11,3.75,,51,5.938654250094643e-11,False,True,True,False,False,False,False,,,False,2.306165621422366,1.2219093011869167,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Microshift Advent X 10-Speed derailleur/12-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M6205AM,Advent X,Microshift,10,1.05,False,CS-PG-1210-A1,Eagle 12-Speed,SRAM,12,3.65,50,52,7.049131119273268e-08,False,True,True,False,False,False,True,,,True,2.0148654959536825,1.1893250531552655,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano 105 11-Speed derailleur/9-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-5800,105,Shimano,11,1.45,True,CS-LG300-9,LinkGlide 9-Speed,Shimano,9,4.05,36,46,0.0032281098818749566,False,True,False,False,False,False,True,,,True,0.9218318925265451,0.9542541069938442,True,False,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano 105 11-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-5800,105,Shimano,11,1.45,True,generic-10-speed,Generic 10-Speed,Generic,10,3.95,,48,0.0001564611416198339,False,True,False,False,False,False,False,,,False,1.1461254248469286,0.9306922771915271,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano 105 11-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-5800,105,Shimano,11,1.45,True,CS-LG300-10,LinkGlide 10-Speed,Shimano,10,4.05,39,48,0.0032281098818749566,False,True,False,False,False,False,True,,,True,0.9585745519234522,0.9542541069938442,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano 105 11-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-5800,105,Shimano,11,1.45,True,CS-HG-500-10,Shimano 10-Speed,Shimano,10,3.96,,34,0.00021812880138317845,False,True,False,False,False,False,False,,,False,1.1891977832599654,0.9330484601717588,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano 105 11-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-5800,105,Shimano,11,1.45,True,CS-PG-1050-A1,SRAM 10-Speed,SRAM,10,4.05,,36,0.0032281098818749566,False,True,False,False,False,False,False,,,False,0.6690676698777223,0.9542541069938442,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano 105 11-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-5800,105,Shimano,11,1.45,True,sram-11-speed,SRAM 11-speed,SRAM,11,3.72,,51,1.1833385395412845e-08,False,True,True,False,False,False,False,,,False,2.128721430257057,0.8765000686461978,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano 105 11-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-5800,105,Shimano,11,1.45,True,shimano-11-speed,Shimano 11-speed,Shimano,11,3.75,,51,4.9953580420830556e-08,False,True,True,False,False,False,False,,,False,2.0036408173960027,0.8835686175868929,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano 105 11-Speed derailleur/12-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-5800,105,Shimano,11,1.45,True,CS-PG-1210-A1,Eagle 12-Speed,SRAM,12,3.65,50,52,3.238229304434099e-10,False,True,True,False,False,False,True,,,True,2.3341831171487986,0.8600067877845756,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano CUES 10-Speed derailleur/9-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-U6020-10,CUES,Shimano,10,1.06,True,CS-LG300-9,LinkGlide 9-Speed,Shimano,9,4.05,36,46,5.672022864080903e-22,False,True,True,False,False,False,False,,,False,3.5384964077587977,1.3070416931227418,True,False,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano CUES 10-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-U6020-10,CUES,Shimano,10,1.06,True,generic-10-speed,Generic 10-Speed,Generic,10,3.95,,48,1.889605284974766e-17,False,True,True,False,False,False,False,,,False,2.9066941013816656,1.2747690587246494,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano CUES 10-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-U6020-10,CUES,Shimano,10,1.06,True,CS-LG300-10,LinkGlide 10-Speed,Shimano,10,4.05,39,48,5.672022864080903e-22,False,True,True,False,False,False,False,,,False,3.505199710728072,1.3070416931227418,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano CUES 10-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-U6020-10,CUES,Shimano,10,1.06,True,CS-HG-500-10,Shimano 10-Speed,Shimano,10,3.96,,34,7.069573325886508e-18,False,True,True,False,False,False,False,,,False,2.963228526070834,1.2779963221644586,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano CUES 10-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-U6020-10,CUES,Shimano,10,1.06,True,CS-PG-1050-A1,SRAM 10-Speed,SRAM,10,4.05,,36,5.672022864080903e-22,False,True,True,False,False,False,False,,,False,3.5177961867325402,1.3070416931227418,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano CUES 10-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-U6020-10,CUES,Shimano,10,1.06,True,sram-11-speed,SRAM 11-speed,SRAM,11,3.72,,51,7.138207544148829e-09,False,True,True,False,False,False,False,,,False,1.9882477261691298,1.200541999609037,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano CUES 10-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-U6020-10,CUES,Shimano,10,1.06,True,shimano-11-speed,Shimano 11-speed,Shimano,11,3.75,,51,8.736500911759423e-10,False,True,True,False,False,False,False,,,False,2.107810877119929,1.2102237899284647,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano CUES 10-Speed derailleur/12-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-U6020-10,CUES,Shimano,10,1.06,True,CS-PG-1210-A1,Eagle 12-Speed,SRAM,12,3.65,50,52,6.144375652832484e-07,False,True,True,False,False,False,True,,,True,1.8116861740954928,1.177951155530372,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano CUES 9-Speed derailleur/9-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-U4020,CUES,Shimano,9,1.11,True,CS-LG300-9,LinkGlide 9-Speed,Shimano,9,4.05,36,46,3.8906461341315423e-13,False,True,True,False,False,False,False,,,False,2.8908060009921863,1.2420466908218122,True,False,True
