180 Deg. Turns,Cable Pull (mm),Measurement (deg),Is Outlier
0,,0.2,y
1,,0.2,y
2,,-0.1,
3,,0,
4,,0.3,
5,,0.5,
6,,0.6,
7,,0.7,
8,,0.9,
9,,1.1,
10,,1.2,
11,,1.3,
12,,1.4,
13,,1.5,
14,,1.6,
15,,1.7,
16,,1.7,
17,,1.8,
18,,1.9,
19,,1.9,
20,,2,
21,,2,
22,,2.1,
23,,2.1,
24,,2.1,
25,,2.2,
26,,2.2,
27,,2.4,
28,,2.2,
29,,2,
30,,2.3,
31,,2.2,
32,,2.4,
33,,2.4,
