180 Deg. Turns,Cable Pull (mm),Measurement (deg),Is Outlier
0,,0.5,y
1,,0.3,y
2,,0.1,
3,,0.1,
4,,0.4,
5,,0.6,
6,,0.8,
7,,1,
8,,1.1,
9,,1.3,
10,,1.4,
11,,1.5,
12,,1.6,
13,,1.6,
14,,1.7,
15,,1.9,
16,,1.9,
17,,2,
18,,2,
19,,2,
20,,2,
21,,2.1,
22,,2.2,
23,,2.1,
24,,2.2,
25,,2.2,
26,,2.3,
27,,2.4,
28,,2.3,
29,,2.3,
30,,2.2,
