180 Deg. Turns,Cable Pull (mm),Measurement (deg),Is Outlier
0,,0.5,y
1,,0.4,
2,,0.5,
3,,0.8,
4,,0.9,
5,,1,
6,,1.1,
7,,1.3,
8,,1.4,
9,,1.6,
10,,1.6,
11,,1.7,
12,,1.8,
13,,1.9,
14,,1.9,
15,,2,
16,,2,
17,,2.1,
18,,2.1,
19,,2.2,
20,,2.2,
21,,2.2,
22,,2.3,
23,,2.3,
24,,2.4,
25,,2.5,
26,,2.5,
27,,2.7,
28,,2.7,
29,,2.8,
30,,2.8,
31,,2.7,
32,,2.5,
33,,2.6,
