Puller Meas. (mm),Carriage Meas. (mm),Num rollers relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
-22.08,22.52,,,,,63.99,108.91,
-21.57,22.49,,,,,,,
-20.71,22.10,,,,,,,
-20.14,21.48,,,,,,,
-19.49,20.76,,,,,,,
-18.83,20.03,,,,,,,
-18.24,19.48,,,,,,,
-17.53,18.56,,,,,,,
-16.85,17.86,,,,,,,
-16.25,17.14,,,,,,,
-15.55,16.31,,,,,,,
-14.86,15.53,,,,,,,
-14.24,14.86,,,,,,,
-13.54,14.12,,,,,,,
-12.85,13.37,,,,,,,
-12.25,12.67,,,,,,,
-11.53,11.93,,,,,,,
-10.85,11.16,,,,,,,
-10.24,10.56,3,10.73,,,,,
-9.53,9.95,,,,,,,
-8.84,9.20,,,,,,,
-8.23,8.50,2,8.54,,,,,
-7.50,7.77,,,,,,,
-6.83,7.05,,,,,,,
-6.21,6.37,,,,,,,
-5.50,5.59,,,,,,,
-4.83,4.85,,,,,,,
-4.20,4.13,2,4.21,,,,,
-3.49,3.45,,,,,,,
-2.81,2.69,,,,,,,
-2.19,1.98,,,,,,,
-1.48,1.26,,,,,,,
-0.81,0.45,2,0.45,,,,,
-0.17,-0.26,,,-23.71,24.26,,,
-23.02,23.49,,,,,,,
-22.33,22.75,,,,,,,
-21.71,22.01,,,,,,,
-20.99,21.23,,,,,,,
-20.32,20.47,1,20.44,,,,,
-19.69,19.72,,,,,,,
-19.01,18.97,,,,,,,
-18.32,18.22,,,,,,,
-17.70,17.53,,,,,,,
-17.00,16.74,,,,,,,
-16.32,15.99,1,15.95,,,,,
-15.69,15.23,,,,,,,
-14.99,14.46,,,,,,,
-14.31,13.75,,,,,,,
-13.68,13.04,,,,,,,
-12.99,12.32,,,,,,,
-12.33,11.57,1,11.54,,,,,
-11.67,10.80,,,,,,,
-10.98,10.09,,,,,,,
-10.32,9.38,,,,,,,
-9.67,8.68,,,,,,,
-8.99,7.98,,,,,,,
-8.34,7.32,1,7.25,,,,,
-7.67,6.58,,,,,,,
-7.01,5.92,,,,,,,
-6.34,5.27,,,,,,,
-5.67,4.60,,,,,,,
-5.00,3.99,,,,,,,
-4.35,3.41,1,3.42,,,,,
-3.67,2.78,,,,,,,
-3.01,2.21,,,,,,,
-2.38,2.00,,,,,,,
-1.95,1.93,,,,,,,
-1.61,1.90,,,,,,,
