Puller Meas. (mm),Carriage Meas. (mm),Num rollers pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
0.00,0.01,,,,,64.08,108.47,40.00
-0.22,0.03,,,,,,,
-0.28,0.05,,,,,,,
-0.57,0.17,,,,,,,
-0.88,0.42,,,,,,,
-1.20,0.69,,,,,,,
-1.55,1.01,,,,,,,
-1.87,1.29,,,,,,,
-2.21,1.58,,,,,,,
-2.54,1.90,,,,,,,
-2.86,2.20,,,,,,,
-3.17,2.47,,,,,,,
-3.51,2.79,,,,,,,
-3.85,3.14,,,,,,,
-4.20,3.47,,,,,,,
-4.52,3.77,,,,,,,
-4.83,4.09,,,,,,,
-5.16,4.40,,,,,,,
-5.50,4.73,,,,,,,
-5.85,5.09,1,5.22,,,,,
-6.18,5.52,,,,,,,
-6.51,5.83,,,,,,,
-6.81,6.14,,,,,,,
-7.14,6.51,,,,,,,
-7.49,6.88,,,,,,,
-7.85,7.24,,,,,,,
-8.19,7.59,,,,,,,
-8.50,7.93,,,,,,,
-8.81,8.29,,,,,,,
-9.15,8.62,,,,,,,
-9.48,8.95,,,,,,,
-9.84,9.37,1,9.49,,,,,
-10.17,9.74,,,,,,,
-10.49,10.10,,,,,,,
-10.81,10.51,,,,,,,
-11.15,10.84,,,,,,,
-11.48,11.20,,,,,,,
-11.84,11.55,,,,,,,
-12.18,11.95,,,,,,,
-12.49,12.29,,,,,,,
-12.81,12.65,,,,,,,
-13.14,13.00,,,,,,,
-13.48,13.40,13.48,13.47,,,,,
-13.83,13.81,,,,,,,
-14.18,14.16,,,,,,,
-14.49,14.52,,,,,,,
-14.80,14.85,,,,,,,
-15.14,15.22,,,,,,,
-15.48,15.62,,,,,,,
-15.84,15.99,,,,,,,
-16.18,16.39,,,,,,,
-16.48,16.70,,,,,,,
-16.78,17.05,,,,,,,
-17.13,17.43,1,17.49,,,,,
-17.49,17.87,,,,,,,
-17.84,18.31,,,,,,,
-18.18,18.66,,,,,,,
-18.49,18.98,,,,,,,
-18.81,19.36,,,,,,,
-19.13,19.72,,,,,,,
-19.49,20.12,,,,,,,
-19.85,20.52,,,,,,,
-20.19,20.88,,,,,,,
-20.49,21.23,,,,,,,
-20.80,21.60,1,21.67,,,,,
-21.15,22.01,,,0.37,0.19,,,
0.03,0.56,,,,,,,
-0.35,0.97,,,,,,,
-0.67,1.41,,,,,,,
-0.97,1.73,,,,,,,
-1.30,2.10,,,,,,,
-1.64,2.48,,,,,,,
-1.99,2.92,1,2.97,,,,,
-2.34,3.31,,,,,,,
-2.69,3.69,,,,,,,
-2.99,4.00,,,,,,,
-3.29,4.36,,,,,,,
-3.63,4.73,,,,,,,
-3.99,5.11,,,,,,,
-4.35,5.53,,,,,,,
-4.69,5.93,,,,,,,
-5.00,6.25,,,,,,,
-5.32,6.60,,,,,,,
-5.64,6.97,2,7.00,,,,,
-6.00,7.37,,,,,,,
-6.36,7.78,,,,,,,
-6.71,8.14,,,,,,,
-7.01,8.46,,,,,,,
-7.33,8.83,,,,,,,
-7.66,9.21,,,,,,,
-8.01,9.60,,,,,,,
-8.36,9.94,,,,,,,
-8.71,10.33,,,,,,,
-9.03,10.76,2,10.74,,,,,
-9.33,10.95,,,,,,,
-9.67,11.35,,,,,,,
-10.02,11.80,,,,,,,
-10.38,12.11,,,,,,,
-10.72,12.51,,,,,,,
-11.03,12.86,,,,,,,
-11.33,13.17,,,,,,,
-11.67,13.56,,,,,,,
-12.03,13.96,,,,,,,
-12.37,14.26,,,,,,,
-12.73,14.68,2,14.71,,,,,
-13.03,14.96,,,,,,,
-13.33,15.27,,,,,,,
-13.67,15.70,,,,,,,
-14.02,16.01,,,,,,,
-14.38,16.52,,,,,,,
-14.72,16.89,,,,,,,
-15.02,17.15,,,,,,,
-15.33,17.52,,,,,,,
-15.66,17.94,,,,,,,
-16.00,18.37,,,,,,,
-16.35,18.72,3,18.73,,,,,
-16.67,18.94,,,,,,,
-17.00,19.27,,,,,,,
-17.30,19.63,,,,,,,
-17.61,19.93,,,,,,,
-17.93,20.28,,,,,,,
-18.27,20.64,,,,,,,
-18.60,21.09,,,,,,,
-18.90,21.32,,,,,,,
-19.18,21.48,,,,,,,
-19.48,21.69,,,,,,,
-19.78,21.92,,,,,,,
-20.10,22.14,,,,,,,
-20.39,22.26,,,,,,,
-20.67,22.36,,,,,,,
-20.94,22.57,,,,,,,
-21.21,22.57,,,,,,,
