Puller Meas. (mm),Carriage Meas. (mm),Num rollers relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
-19.86,22.16,,,,,64.03,108.82,
-19.33,22.09,,,,,,,
-18.76,21.93,,,,,,,
-18.19,21.37,,,,,,,
-17.57,20.72,,,,,,,
-16.89,19.98,,,,,,,
-16.27,19.30,,,,,,,
-15.61,18.50,,,,,,,
-14.92,17.70,,,,,,,
-14.30,16.98,,,,,,,
-13.62,16.18,,,,,,,
-12.92,15.38,,,,,,,
-12.27,14.68,,,,,,,
-11.62,14.02,3,14.21,,,,,
-10.92,13.53,,,,,,,
-10.29,12.86,,,,,,,
-9.62,12.10,,,,,,,
-8.91,11.33,,,,,,,
-8.28,10.64,,,,,,,
-7.61,9.88,2,9.99,,,,,
-6.91,9.23,,,,,,,
-6.27,8.52,,,,,,,
-5.61,7.78,,,,,,,
-4.90,6.98,,,,,,,
-4.27,6.31,,,,,,,
-3.59,5.58,2,5.66,,,,,
-2.90,4.89,,,,,,,
-2.25,4.19,,,,,,,
-1.59,3.42,,,,,,,
-0.88,2.62,,,,,,,
-0.25,1.94,,,,,,,
0.42,1.15,2,1.21,,,,,
1.11,0.43,,,-20.16,24.58,,,
-19.51,24.02,,,,,,,
-18.85,23.28,1,23.27,,,,,
-18.14,22.45,,,,,,,
-17.52,21.75,,,,,,,
-16.84,20.95,,,,,,,
-16.15,20.20,,,,,,,
-15.50,19.48,1,19.45,,,,,
-14.83,18.70,,,,,,,
-14.13,17.89,,,,,,,
-13.49,17.18,,,,,,,
-12.82,16.45,,,,,,,
-12.12,15.67,1,15.68,,,,,
-11.48,15.03,,,,,,,
-10.81,14.27,,,,,,,
-10.13,13.52,,,,,,,
-9.48,12.83,,,,,,,
-8.80,12.07,,,,,,,
-8.12,11.35,1,11.31,,,,,
-7.48,10.63,,,,,,,
-6.81,9.92,,,,,,,
-6.13,9.18,,,,,,,
-5.48,8.50,,,,,,,
-4.80,7.80,,,,,,,
-4.14,7.13,1,7.09,,,,,
-3.48,6.42,,,,,,,
-2.80,5.77,,,,,,,
-2.14,5.12,,,,,,,
-1.49,4.46,,,,,,,
-0.81,3.81,,,,,,,
-0.14,3.18,1,3.00,,,,,
0.52,2.43,,,,,,,
1.20,1.82,,,,,,,
1.61,1.49,,,,,,,
1.62,1.43,,,,,,,
