Puller Meas. (mm),Carriage Meas. (mm),Num rollers relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
-21.25,22.57,,,,,63.85,108.46,
-20.97,22.51,,,,,,,
-20.73,22.47,,,,,,,
-20.46,22.37,,,,,,,
-20.15,22.10,,,,,,,
-19.83,21.73,,,,,,,
-19.51,21.50,,,,,,,
-19.20,21.10,,,,,,,
-18.91,20.75,,,,,,,
-18.61,20.45,,,,,,,
-18.26,19.96,,,,,,,
-17.90,19.56,,,,,,,
-17.56,19.13,,,,,,,
-17.22,18.82,,,,,,,
-16.93,18.39,,,,,,,
-16.61,18.08,,,,,,,
-16.27,17.71,,,,,,,
-15.92,17.27,,,,,,,
-15.56,16.77,,,,,,,
-15.24,16.42,3,16.70,,,,,
-14.94,16.42,,,,,,,
-14.62,16.06,,,,,,,
-14.28,15.73,,,,,,,
-13.92,15.30,,,,,,,
-13.57,14.91,,,,,,,
-13.24,14.56,,,,,,,
-12.94,14.24,,,,,,,
-12.61,13.88,,,,,,,
-12.26,13.42,,,,,,,
-11.92,13.03,,,,,,,
-11.56,12.64,2,12.78,,,,,
-11.22,12.43,,,,,,,
-10.92,12.10,,,,,,,
-10.61,11.72,,,,,,,
-10.26,11.39,,,,,,,
-9.91,10.98,,,,,,,
-9.55,10.63,,,,,,,
-9.23,10.20,,,,,,,
-8.92,9.94,,,,,,,
-8.60,9.56,,,,,,,
-8.25,9.21,,,,,,,
-7.90,8.81,2,8.87,,,,,
-7.55,8.45,,,,,,,
-7.22,8.12,,,,,,,
-6.91,7.77,,,,,,,
-6.60,7.42,,,,,,,
-6.24,7.07,,,,,,,
-5.89,6.67,,,,,,,
-5.55,6.29,,,,,,,
-5.22,5.92,,,,,,,
-4.90,5.56,,,,,,,
-4.58,5.22,,,,,,,
-4.24,4.84,2,4.84,,,,,
-3.88,4.45,,,,,,,
-3.53,4.06,,,,,,,
-3.20,3.68,,,,,,,
-2.90,3.30,,,,,,,
-2.57,2.95,,,,,,,
-2.23,2.58,,,,,,,
-1.87,2.18,,,,,,,
-1.53,1.82,,,,,,,
-1.19,1.43,,,,,,,
-0.88,1.11,,,,,,,
-0.56,0.73,1,0.74,,,,,
-0.23,0.36,,,-23.28,24.52,,,
-22.94,24.19,,,,,,,
-22.59,23.82,,,,,,,
-22.26,23.44,,,,,,,
-21.95,23.05,,,,,,,
-21.62,22.68,,,,,,,
-21.28,22.30,1,22.29,,,,,
-20.93,21.92,,,,,,,
-20.58,21.50,,,,,,,
-20.25,21.12,,,,,,,
-19.94,20.79,,,,,,,
-19.62,20.42,,,,,,,
-19.27,20.03,,,,,,,
-18.93,19.65,,,,,,,
-18.57,19.24,,,,,,,
-18.24,18.83,,,,,,,
-17.93,18.53,1,18.52,,,,,
-17.62,18.20,,,,,,,
-17.27,17.81,,,,,,,
-16.92,17.44,,,,,,,
-16.57,17.02,,,,,,,
-16.24,16.64,,,,,,,
-15.93,16.30,,,,,,,
-15.60,15.93,,,,,,,
-15.26,15.56,,,,,,,
-14.91,15.17,,,,,,,
-14.57,14.83,,,,,,,
-14.24,14.47,1,14.44,,,,,
-13.92,14.06,,,,,,,
-13.60,13.69,,,,,,,
-13.25,13.31,,,,,,,
-12.92,12.96,,,,,,,
-12.58,12.58,,,,,,,
-12.25,12.24,,,,,,,
-11.92,11.90,,,,,,,
-11.60,11.56,,,,,,,
-11.25,11.17,,,,,,,
-10.91,10.80,,,,,,,
-10.58,10.45,1,10.39,,,,,
-10.25,10.04,,,,,,,
-9.92,9.69,,,,,,,
-9.58,9.34,,,,,,,
-9.24,8.97,,,,,,,
-8.92,8.69,,,,,,,
-8.59,8.31,,,,,,,
-8.26,8.01,,,,,,,
-7.93,7.65,,,,,,,
-7.58,7.28,,,,,,,
-7.24,6.96,,,,,,,
-6.91,6.63,1,6.65,,,,,
-6.59,6.26,,,,,,,
-6.24,5.91,,,,,,,
-5.92,5.59,,,,,,,
-5.58,5.27,,,,,,,
-5.25,4.94,,,,,,,
-4.92,4.65,,,,,,,
-4.59,4.32,,,,,,,
-4.25,3.99,,,,,,,
-3.94,3.71,,,,,,,
-3.58,3.39,,,,,,,
-3.25,3.07,,,,,,,
-2.93,2.80,,,,,,,
-2.60,2.49,,,,,,,
-2.29,2.44,,,,,,,
-1.97,2.32,,,,,,,
-1.84,2.32,,,,,,,
-1.70,2.32,,,,,,,
-1.52,2.30,,,,,,,
