Puller Meas. (mm),Carriage Meas. (mm),Num rollers pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
0.00,0.00,,,,,64.17,108.82,
-0.27,0.02,,,,,,,
-0.63,0.11,,,,,,,
-1.24,0.36,,,,,,,
-1.89,0.88,,,,,,,
-2.56,1.50,,,,,,,
-3.20,2.07,,,,,,,
-3.87,2.69,,,,,,,
-4.54,3.35,,,,,,,
-5.18,3.96,,,,,,,
-5.86,4.62,,,,,,,
-6.52,5.24,,,,,,,
-7.17,5.94,1,6.05,,,,,
-7.86,6.75,,,,,,,
-8.52,7.38,,,,,,,
-9.16,8.10,,,,,,,
-9.86,8.86,,,,,,,
-10.52,9.55,,,,,,,
-11.16,10.28,1,10.35,,,,,
-11.87,11.02,,,,,,,
-12.52,11.76,,,,,,,
-13.16,12.44,,,,,,,
-13.85,13.19,,,,,,,
-14.51,13.91,,,,,,,
-15.16,14.60,1,14.67,,,,,
-15.85,15.40,,,,,,,
-16.51,16.14,,,,,,,
-17.15,16.84,,,,,,,
-17.87,17.64,,,,,,,
-18.51,18.36,1,18.40,,,,,
-19.17,19.13,,,,,,,
-19.88,19.94,,,,,,,
-20.52,20.65,,,,,,,
-21.17,21.36,,,,,,,
-21.88,22.18,1,22.20,,,,,
-22.53,22.90,,,1.61,0.16,,,
1.02,0.82,,,,,,,
0.31,1.66,,,,,,,
-0.34,2.38,,,,,,,
-0.99,3.11,1,3.15,,,,,
-1.72,3.95,,,,,,,
-2.34,4.64,,,,,,,
-3.00,5.41,,,,,,,
-3.71,6.20,,,,,,,
-4.37,6.94,2,6.94,,,,,
-5.02,7.67,,,,,,,
-5.73,8.41,,,,,,,
-6.36,9.13,,,,,,,
-7.03,9.88,,,,,,,
-7.74,10.65,,,,,,,
-8.39,11.38,2,11.35,,,,,
-9.03,12.00,,,,,,,
-9.74,12.81,,,,,,,
-10.39,13.55,,,,,,,
-11.04,14.27,,,,,,,
-11.76,15.01,,,,,,,
-12.39,15.72,2,15.74,,,,,
-13.03,16.40,,,,,,,
-13.73,17.21,,,,,,,
-14.37,17.97,,,,,,,
-15.01,18.73,,,,,,,
-15.68,19.56,3,19.44,,,,,
-16.29,20.04,,,,,,,
-16.90,20.74,,,,,,,
-17.54,21.25,,,,,,,
-18.11,21.59,,,,,,,
-18.66,21.90,,,,,,,
-19.24,22.05,,,,,,,
-19.81,22.15,,,,,,,
