Puller Meas. (mm),Carriage Meas. (mm),Num rollers pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
0.00,0.01,,,,,64.1,109.22,
-0.25,0.01,,,,,,,
-0.32,0.03,,,,,,,
-0.61,0.09,,,,,,,
-1.22,0.44,,,,,,,
-1.87,1.00,,,,,,,
-2.55,1.63,,,,,,,
-3.17,2.21,,,,,,,
-3.85,2.86,,,,,,,
-4.51,3.49,,,,,,,
-5.17,4.13,,,,,,,
-5.85,4.81,,,,,,,
-6.52,5.48,1,5.58,,,,,
-7.16,6.23,,,,,,,
-7.87,6.95,,,,,,,
-8.51,7.60,,,,,,,
-9.15,8.29,,,,,,,
-9.85,9.02,,,,,,,
-10.50,9.70,1,9.80,,,,,
-11.16,10.50,,,,,,,
-11.86,11.27,,,,,,,
-12.51,11.98,,,,,,,
-13.15,12.67,,,,,,,
-13.85,13.44,,,,,,,
-14.51,14.15,1,14.18,,,,,
-15.16,14.87,,,,,,,
-15.86,15.66,,,,,,,
-16.51,16.38,,,,,,,
-17.17,17.10,,,,,,,
-17.88,17.92,,,,,,,
-18.52,18.58,1,18.69,,,,,
-19.17,19.37,,,,,,,
-19.87,20.18,,,,,,,
-20.52,20.90,,,,,,,
-21.18,21.65,,,,,,,
-21.88,22.43,,,0.00,0.00,,,
-0.62,0.72,,,,,,,
-1.26,1.44,,,,,,,
-1.99,2.28,1,2.31,,,,,
-2.62,3.01,,,,,,,
-3.28,3.76,,,,,,,
-3.99,4.54,,,,,,,
-4.64,5.28,,,,,,,
-5.27,5.99,,,,,,,
-6.00,6.80,1,6.83,,,,,
-6.65,7.57,,,,,,,
-7.29,8.18,,,,,,,
-8.01,9.06,,,,,,,
-8.65,9.74,,,,,,,
-9.27,10.43,,,,,,,
-10.01,11.25,2,11.31,,,,,
-10.66,11.95,,,,,,,
-11.30,12.67,,,,,,,
-12.02,13.48,,,,,,,
-12.67,14.16,,,,,,,
-13.32,14.84,,,,,,,
-14.03,15.72,,,,,,,
-14.67,16.45,2,16.42,,,,,
-15.31,17.19,,,,,,,
-16.01,17.98,,,,,,,
-16.65,18.73,,,,,,,
-17.27,19.44,,,,,,,
-17.94,20.15,,,,,,,
-18.57,20.91,2,20.92,,,,,
-19.14,21.37,,,,,,,
-19.78,21.83,,,,,,,
-20.35,22.11,,,,,,,
-20.87,22.33,,,,,,,
-21.47,22.48,,,,,,,
-22.02,22.71,,,,,,,
