Set,1,1,1,1,1,1,1,1,1,1,1,1
Run,1,2,3,4,5,6,7,8,9,10,11,12
Direction,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing
Date,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025
4 (least pull),,10.5,,10.5,,10.57,,10.6,,10.68,,10.67
3,6.52,6.53,6.49,6.52,6.52,6.56,6.53,6.58,6.59,6.63,6.6,6.64
2,2.93,2.94,2.9,2.64,2.96,2.97,2.95,2.99,3.01,3.04,3.03,3.04
1 (most pull),-0.07,,-0.06,,-0.03,,0,,0.05,,0.06,
