Puller Meas. (mm),Carriage Meas. (mm),Num rollers pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
0.00,0.00,,,,,,,
-0.43,0.13,,,,,,,
-0.90,0.39,,,,,,,
-1.51,0.80,,,,,,,
-2.15,1.31,,,,,,,
-2.82,1.86,,,,,,,
-3.46,2.41,,,,,,,
-4.10,2.96,,,,,,,
-4.79,3.56,,,,,,,
-5.41,4.10,1,4.07,,,,,
-6.10,4.66,,,,,,,
-6.75,5.26,,,,,,,
-7.40,5.89,,,,,,,
-8.08,6.54,,,,,,,
-8.75,7.17,,,,,,,
-9.39,7.83,,,,,,,
-10.07,8.49,1,8.45,,,,,
-10.73,9.11,,,,,,,
-11.38,9.79,,,,,,,
-12.05,10.45,,,,,,,
-12.73,11.15,,,,,,,
-13.36,11.79,,,,,,,
-14.06,12.57,1,12.57,,,,,
-14.72,13.21,,,,,,,
-15.36,13.88,,,,,,,
-16.06,14.62,,,,,,,
-16.72,15.33,,,,,,,
-17.35,15.96,,,,,,,
-18.05,16.73,1,16.73,,,,,
-18.70,17.38,,,,,,,
-19.35,18.08,,,,,,,
-20.04,18.83,,,,,,,
-20.70,19.51,,,,,,,
-21.34,20.22,,,,,,,
-22.04,20.95,1,20.97,,,,,
-22.69,21.63,,,,,,,
-23.33,22.29,,,,,,,
-24.03,23.12,,,,,,,
-24.69,23.85,,,0.07,-0.86,,,
-0.57,-0.16,,,,,,,
-1.26,0.57,2,0.56,,,,,
-1.92,1.30,,,,,,,
-2.57,1.98,,,,,,,
-3.28,2.81,,,,,,,
-3.93,3.43,,,,,,,
-4.56,4.13,,,,,,,
-5.27,4.88,2,4.88,,,,,
-5.94,5.56,,,,,,,
-6.57,6.24,,,,,,,
-7.27,7.00,,,,,,,
-7.93,7.68,,,,,,,
-8.58,8.37,,,,,,,
-9.27,9.05,2,9.05,,,,,
-9.94,9.77,,,,,,,
-10.57,10.44,,,,,,,
-11.29,11.22,,,,,,,
-11.93,11.83,,,,,,,
-12.57,12.47,,,,,,,
-13.25,13.20,3,13.05,,,,,
-13.92,13.63,,,,,,,
-14.57,14.34,,,,,,,
-15.25,15.08,,,,,,,
-15.91,15.82,,,,,,,
-16.53,16.53,,,,,,,
-17.20,17.31,,,,,,,
-17.88,18.00,,,,,,,
-18.48,18.62,,,,,,,
-19.14,19.35,,,,,,,
-19.77,20.08,,,,,,,
-20.36,20.47,,,,,,,
-20.95,20.84,,,,,,,
-21.52,21.18,,,,,66.67,112.7,
