Puller Meas. (mm),Carriage Meas. (mm),Num rollers relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
-20.08,21.54,,,,,,,
-19.54,21.45,,,,,,,
-18.93,20.77,,,,,,,
-18.25,19.92,,,,,,,
-17.61,19.07,,,,,,,
-16.95,18.32,,,,,,,
-16.26,17.51,,,,,,,
-15.62,16.77,,,,,,,
-14.96,16.06,,,,,,,
-14.27,15.34,,,,,,,
-13.64,14.82,,,,,,,
-12.96,14.02,,,,,,,
-12.27,13.20,3,13.36,,,,,
-11.63,12.82,,,,,,,
-10.96,12.12,,,,,,,
-10.26,11.46,,,,,,,
-9.64,10.73,,,,,,,
-8.96,10.07,,,,,,,
-8.27,9.32,2,9.37,,,,,
-7.63,8.68,,,,,,,
-6.96,7.98,,,,,,,
-6.28,7.28,,,,,,,
-5.62,6.52,,,,,,,
-4.96,5.86,,,,,,,
-4.26,5.02,2,5.06,,,,,
-3.62,4.36,,,,,,,
-2.94,3.63,,,,,,,
-2.26,2.88,,,,,,,
-1.62,2.19,,,,,,,
-0.95,1.46,,,,,,,
-0.25,0.71,2,0.75,-25.30,25.16,,,
-24.65,24.41,,,,,,,
-24.00,23.66,,,,,,,
-23.31,22.93,,,,,,,
-22.66,22.21,,,,,,,
-22.00,21.52,,,,,,,
-21.30,20.78,1,20.81,,,,,
-20.66,20.13,,,,,,,
-19.99,19.45,,,,,,,
-19.31,18.68,,,,,,,
-18.66,17.97,,,,,,,
-18.01,17.30,,,,,,,
-17.32,16.61,1,16.64,,,,,
-16.67,15.95,,,,,,,
-15.99,15.26,,,,,,,
-15.32,14.54,,,,,,,
-14.66,13.83,,,,,,,
-13.99,13.11,,,,,,,
-13.32,12.48,,,,,,,
-12.66,11.74,,,,,,,
-11.99,11.06,1,11.12,,,,,
-11.34,10.43,,,,,,,
-10.65,9.75,,,,,,,
-10.00,9.08,,,,,,,
-9.34,8.44,,,,,,,
-8.66,7.81,,,,,,,
-8.00,7.25,,,,,,,
-7.37,6.62,1,6.57,,,,,
-6.67,6.03,,,,,,,
-6.01,5.41,,,,,,,
-5.36,4.85,,,,,,,
-4.70,4.28,,,,,,,
-4.02,3.73,,,,,,,
-3.40,3.23,,,,,,,
-2.73,2.60,1,2.66,,,,,
-2.03,2.12,,,,,,,
-1.42,1.70,,,,,,,
-0.78,1.24,,,,,,,
-0.39,0.96,,,,,,,
-0.02,0.83,,,,,66.81,111.89,
