Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,16.15,,,,,72.38,111.52,,
,16.21,,,,,,,,
,16.08,,,,,,,,
,16.05,,,,,,,,
,16.08,,,,,,,,
,15.8,,,,,,,,
,15.83,,,,,,,,
,15.7,,,,,,,,
,15.49,,,,,,,,
,15.19,,,,,,,,
,14.85,,,,,,,,
,14.47,,,,,,,,
,14.16,,,,,,,,
,13.73,,,,,,,,
,13.28,4,13.95,,,,,,
,13.65,,,,,,,,
,13.17,,,,,,,,
,12.8,,,,,,,,
,12.46,,,,,,,,
,11.97,,,,,,,,
,11.51,,,,,,,,
,11.17,,,,,,,,
,10.87,,,,,,,,
,10.51,,,,,,,,
,10.16,,,,,,,,
,9.68,3,9.96,,,,,,
,9.56,,,,,,,,
,9.15,,,,,,,,
,8.73,,,,,,,,
,8.45,,,,,,,,
,8.22,,,,,,,,
,7.73,,,,,,,,
,7.39,,,,,,,,
,6.9,,,,,,,,
,6.54,,,,,,,,
,6.23,,,,,,,,
,5.94,,,,,,,,
,5.64,2,5.64,,,,,,
,5.33,,,,,,,,
,4.95,,,,,,,,
,4.58,,,,,,,,
,4.25,,,,,,,,
,3.83,,,,,,,,
,3.41,,,,,,,,
,3.06,,,,,,,,
,2.59,,,,,,,,
,2.3,2,2.35,,,,,,
,2.02,,,,,,,,
,1.7,,,,,,,,
,1.33,,,,,,,,
,0.96,,,,,,,,
,0.55,,,,,,,,
,0.17,,,,24.99,,,,
,24.66,,,,,,,,
,24.26,,,,,,,,
,23.87,,,,,,,,
,23.48,2,23.42,,,,,,
,23.06,,,,,,,,
,22.77,,,,,,,,
,22.37,,,,,,,,
,22.01,,,,,,,,
,21.63,,,,,,,,
,21.26,,,,,,,,
,20.93,,,,,,,,
,20.53,,,,,,,,
,20.17,,,,,,,,
,19.86,,,,,,,,
,19.46,2,19.42,,,,,,
,19.06,,,,,,,,
,18.71,,,,,,,,
,18.35,,,,,,,,
,18.02,,,,,,,,
,17.62,,,,,,,,
,17.3,,,,,,,,
,16.9,,,,,,,,
,16.54,,,,,,,,
,16.16,,,,,,,,
,15.84,1,15.83,,,,,,
,15.52,,,,,,,,
,15.13,,,,,,,,
,14.76,,,,,,,,
,14.39,,,,,,,,
,14.02,,,,,,,,
,13.68,,,,,,,,
,13.31,,,,,,,,
,12.95,,,,,,,,
,12.55,,,,,,,,
,12.19,,,,,,,,
,11.82,1,11.87,,,,,,
,11.5,,,,,,,,
,11.15,,,,,,,,
,10.77,,,,,,,,
,10.37,,,,,,,,
,10.04,,,,,,,,
,9.69,,,,,,,,
,9.35,,,,,,,,
,9.03,,,,,,,,
,8.61,,,,,,,,
,8.23,1,8.24,,,,,,
,7.93,,,,,,,,
,7.57,,,,,,,,
,7.2,,,,,,,,
,6.87,,,,,,,,
,6.54,,,,,,,,
,6.15,,,,,,,,
,5.8,,,,,,,,
,5.43,,,,,,,,
,5.08,,,,,,,,
,4.73,,,,,,,,
,4.35,,,,,,,,
,3.98,1,4.04,,,,,,
,3.69,,,,,,,,
,3.41,,,,,,,,
,3.05,,,,,,,,
,2.77,,,,,,,,
,2.57,,,,,,,,
,2.29,,,,,,,,
,2,,,,,,,,
,1.83,,,,,,,,
,1.79,,,,,,,,
,1.79,,,,,,,,
,1.79,,,,,,,,
,1.77,,,,,,,,
,1.75,,,,,,,,
,1.73,,,,,,,,
