Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,0.89,,,,,72.68,112.58,,
,0.88,,,,,,,,
,0.86,,,,,,,,
,0.85,,,,,,,,
,0.86,,,,,,,,
,0.84,,,,,,,,
,0.85,,,,,,,,
,0.86,,,,,,,,
,0.9,,,,,,,,
,0.97,,,,,,,,
,1.17,,,,,,,,
,1.43,,,,,,,,
,1.72,,,,,,,,
,1.98,,,,,,,,
,2.26,,,,,,,,
,2.56,,,,,,,,
,2.91,,,,,,,,
,3.25,1,3.27,,,,,,
,3.62,,,,,,,,
,4,,,,,,,,
,4.3,,,,,,,,
,4.63,,,,,,,,
,5,,,,,,,,
,5.35,,,,,,,,
,5.75,,,,,,,,
,6.09,,,,,,,,
,6.42,,,,,,,,
,6.72,,,,,,,,
,7.07,1,7.08,,,,,,
,7.45,,,,,,,,
,7.86,,,,,,,,
,8.23,,,,,,,,
,8.49,,,,,,,,
,8.8,,,,,,,,
,9.14,,,,,,,,
,9.54,,,,,,,,
,9.92,,,,,,,,
,10.26,,,,,,,,
,10.62,,,,,,,,
,10.94,,,,,,,,
,11.28,1,11.3,,,,,,
,11.65,,,,,,,,
,12.07,,,,,,,,
,12.4,,,,,,,,
,12.7,,,,,,,,
,13.1,,,,,,,,
,13.46,,,,,,,,
,13.81,,,,,,,,
,14.21,,,,,,,,
,14.54,,,,,,,,
,14.91,1,14.9,,,,,,
,15.19,,,,,,,,
,15.56,,,,,,,,
,15.94,,,,,,,,
,16.32,,,,,,,,
,16.72,,,,,,,,
,17.04,,,,,,,,
,17.35,,,,,,,,
,17.71,,,,,,,,
,18.09,,,,,,,,
,18.49,,,,,,,,
,18.86,1,18.89,,,,,,
,19.18,,,,,,,,
,19.56,,,,,,,,
,19.89,,,,,,,,
,20.31,,,,,,,,
,20.77,,,,,,,,
,21.12,,,,,,,,
,21.51,,,,,,,,
,21.82,,,,,,,,
,22.22,,,,,,,,
,22.61,2,22.63,,,,,,
,23,,,,,,,,
,23.4,,,,,,,,
,23.7,,,,-0.02,,,,
,0.41,,,,,,,,
,0.79,,,,,,,,
,1.15,,,,,,,,
,1.58,,,,,,,,
,1.87,,,,,,,,
,2.25,,,,,,,,
,2.63,2,2.7,,,,,,
,2.98,,,,,,,,
,3.32,,,,,,,,
,3.73,,,,,,,,
,4.12,,,,,,,,
,4.45,,,,,,,,
,4.72,,,,,,,,
,5.17,,,,,,,,
,5.54,,,,,,,,
,5.98,,,,,,,,
,6.34,2,6.33,,,,,,
,6.59,,,,,,,,
,6.98,,,,,,,,
,7.34,,,,,,,,
,7.68,,,,,,,,
,8.15,,,,,,,,
,8.52,,,,,,,,
,8.86,,,,,,,,
,9.25,,,,,,,,
,9.52,,,,,,,,
,9.97,2,9.98,,,,,,
,10.26,,,,,,,,
,10.54,,,,,,,,
,10.98,,,,,,,,
,11.37,,,,,,,,
,11.76,,,,,,,,
,12.17,,,,,,,,
,12.51,,,,,,,,
,12.94,,,,,,,,
,13.25,,,,,,,,
,13.52,,,,,,,,
,13.93,3,13.57,,,,,,
,13.86,,,,,,,,
,14.22,,,,,,,,
,14.62,,,,,,,,
,14.93,,,,,,,,
,15.22,,,,,,,,
,15.6,,,,,,,,
,16.01,,,,,,,,
,16.4,,,,,,,,
,16.7,,,,,,,,
,16.93,,,,,,,,
,17.04,,,,,,,,
,17.1,,,,,,,,
,17.16,,,,,,,,
,17.25,,,,,,,,
