Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,16.04,,,,,72.72,112.43,,
,15.98,,,,,,,,
,16.04,,,,,,,,
,16,,,,,,,,
,15.85,,,,,,,,
,15.78,,,,,,,,
,15.64,,,,,,,,
,15.47,,,,,,,,
,15.33,,,,,,,,
,14.86,,,,,,,,
,14.46,,,,,,,,
,14.13,,,,,,,,
,13.74,,,,,,,,
,13.22,,,,,,,,
,12.86,,,,,,,,
,12.59,,,,,,,,
,12.18,,,,,,,,
,11.8,,,,,,,,
,11.36,,,,,,,,
,11.04,,,,,,,,
,10.55,,,,,,,,
,10.27,,,,,,,,
,9.93,,,,,,,,
,9.53,,,,,,,,
,9.16,,,,,,,,
,8.78,3,8.97,,,,,,
,8.72,,,,,,,,
,8.29,,,,,,,,
,7.9,,,,,,,,
,7.49,,,,,,,,
,7.09,,,,,,,,
,6.79,,,,,,,,
,6.35,,,,,,,,
,6.01,,,,,,,,
,5.58,,,,,,,,
,5.26,,,,,,,,
,4.89,2,4.96,,,,,,
,4.7,,,,,,,,
,4.34,,,,,,,,
,4.06,,,,,,,,
,3.69,,,,,,,,
,3.32,,,,,,,,
,2.99,,,,,,,,
,2.65,,,,,,,,
,2.17,,,,,,,,
,1.83,,,,,,,,
,1.44,2,1.48,,,,,,
,1.22,,,,,,,,
,0.85,,,,,,,,
,0.45,,,,,,,,
,0.08,,,,,,,,
,-0.3,,,,24.23,,,,
,23.77,,,,,,,,
,23.42,,,,,,,,
,23.03,,,,,,,,
,22.67,2,22.59,,,,,,
,22.31,,,,,,,,
,21.96,,,,,,,,
,21.54,,,,,,,,
,21.21,,,,,,,,
,20.88,,,,,,,,
,20.48,,,,,,,,
,20.1,,,,,,,,
,19.74,,,,,,,,
,19.38,,,,,,,,
,19.02,,,,,,,,
,18.67,,,,,,,,
,18.25,2,18.2,,,,,,
,17.86,,,,,,,,
,17.49,,,,,,,,
,17.15,,,,,,,,
,16.79,,,,,,,,
,16.45,,,,,,,,
,16.11,,,,,,,,
,15.69,,,,,,,,
,15.33,,,,,,,,
,14.96,,,,,,,,
,14.64,1,14.61,,,,,,
,14.29,,,,,,,,
,13.88,,,,,,,,
,13.53,,,,,,,,
,13.16,,,,,,,,
,12.76,,,,,,,,
,12.42,,,,,,,,
,12.08,,,,,,,,
,11.69,,,,,,,,
,11.32,,,,,,,,
,10.92,1,10.87,,,,,,
,10.55,,,,,,,,
,10.22,,,,,,,,
,9.88,,,,,,,,
,9.41,,,,,,,,
,9.05,,,,,,,,
,8.69,,,,,,,,
,8.33,,,,,,,,
,8.02,,,,,,,,
,7.71,,,,,,,,
,7.28,,,,,,,,
,6.96,1,6.97,,,,,,
,6.66,,,,,,,,
,6.32,,,,,,,,
,5.98,,,,,,,,
,5.63,,,,,,,,
,5.27,,,,,,,,
,4.9,,,,,,,,
,4.55,,,,,,,,
,4.2,,,,,,,,
,3.86,,,,,,,,
,3.49,,,,,,,,
,3.15,1,3.16,,,,,,
,2.84,,,,,,,,
,2.53,,,,,,,,
,2.21,,,,,,,,
,1.92,,,,,,,,
,1.65,,,,,,,,
,1.43,,,,,,,,
,1.13,,,,,,,,
,0.95,,,,,,,,
,0.87,,,,,,,,
,0.82,1,0.97,,,,,,
,0.97,,,,,,,,
,0.94,,,,,,,,
,0.94,,,,,,,,
,0.91,,,,,,,,
,0.89,,,,,,,,
