Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,0.03,,,,,72.52,112.1,,
,0.04,,,,,,,,
,0.05,,,,,,,,
,0.08,,,,,,,,
,0.19,,,,,,,,
,0.4,,,,,,,,
,0.67,,,,,,,,
,0.98,,,,,,,,
,1.33,,,,,,,,
,1.7,,,,,,,,
,2.06,,,,,,,,
,2.34,,,,,,,,
,2.74,1,2.74,,,,,,
,2.97,,,,,,,,
,3.4,,,,,,,,
,3.72,,,,,,,,
,4.07,,,,,,,,
,4.39,,,,,,,,
,4.7,,,,,,,,
,5.1,,,,,,,,
,5.46,,,,,,,,
,5.86,,,,,,,,
,6.22,,,,,,,,
,6.55,1,6.55,,,,,,
,6.84,,,,,,,,
,7.1,,,,,,,,
,7.49,,,,,,,,
,7.9,,,,,,,,
,8.23,,,,,,,,
,8.55,,,,,,,,
,8.91,,,,,,,,
,9.23,,,,,,,,
,9.6,,,,,,,,
,10.02,,,,,,,,
,10.38,1,10.41,,,,,,
,10.68,,,,,,,,
,11.08,,,,,,,,
,11.38,,,,,,,,
,11.81,,,,,,,,
,12.17,,,,,,,,
,12.58,,,,,,,,
,12.82,,,,,,,,
,13.22,,,,,,,,
,13.46,,,,,,,,
,13.95,,,,,,,,
,14.31,1,14.38,,,,,,
,14.65,,,,,,,,
,15.02,,,,,,,,
,15.38,,,,,,,,
,15.7,,,,,,,,
,16.08,,,,,,,,
,16.5,,,,,,,,
,16.81,,,,,,,,
,17.23,,,,,,,,
,17.55,,,,,,,,
,17.77,1,18.01,,,,,,
,18.3,,,,,,,,
,18.67,,,,,,,,
,19.06,,,,,,,,
,19.39,,,,,,,,
,19.72,,,,,,,,
,20.05,,,,,,,,
,20.41,,,,,,,,
,20.81,,,,,,,,
,21.18,,,,,,,,
,21.55,,,,,,,,
,21.84,1,22.03,,,,,,
,22.22,,,,,,,,
,22.66,,,,,,,,
,23.08,,,,,,,,
,23.41,,,,,,,,
,23.73,,,,0.63,,,,
,1,,,,,,,,
,1.35,,,,,,,,
,1.77,,,,,,,,
,2.2,,,,,,,,
,2.6,2,2.74,,,,,,
,2.99,,,,,,,,
,3.25,,,,,,,,
,3.63,,,,,,,,
,3.95,,,,,,,,
,4.36,,,,,,,,
,4.59,,,,,,,,
,5.02,,,,,,,,
,5.34,,,,,,,,
,5.68,,,,,,,,
,6.12,2,6.17,,,,,,
,6.58,,,,,,,,
,6.94,,,,,,,,
,7.27,,,,,,,,
,7.64,,,,,,,,
,8.02,,,,,,,,
,8.31,,,,,,,,
,8.57,,,,,,,,
,9.01,,,,,,,,
,9.31,,,,,,,,
,9.72,2,9.84,,,,,,
,10.11,,,,,,,,
,10.41,,,,,,,,
,10.8,,,,,,,,
,11.02,,,,,,,,
,11.47,,,,,,,,
,11.86,,,,,,,,
,12.02,,,,,,,,
,12.5,,,,,,,,
,12.99,,,,,,,,
,13.22,,,,,,,,
,13.57,,,,,,,,
,13.99,3,13.61,,,,,,
,13.78,,,,,,,,
,14.12,,,,,,,,
,14.49,,,,,,,,
,14.74,,,,,,,,
,14.99,,,,,,,,
,15.31,,,,,,,,
,15.5,,,,,,,,
,15.86,,,,,,,,
,16.16,,,,,,,,
,16.38,,,,,,,,
,16.51,,,,,,,,
,16.6,,,,,,,,
,16.63,,,,,,,,
,16.67,,,,,,,,
,16.69,,,,,,,,
