Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,15.06,,,,,61.63,,,
,15.06,,,,,,,,
,15.03,,,,,,,,
,15.02,,,,,,,,
,14.99,,,,,,,,
,14.97,,,,,,,,
,14.96,,,,,,,,
,14.95,,,,,,,,
,14.88,,,,,,,,
,14.68,,,,,,,,
,14.3,,,,,,,,
,13.8,,,,,,,,
,13.15,,,,,,,,
,12.61,,,,,,,,
,12.01,,,,,,,,
,11.48,,,,,,,,
,11.03,,,,,,,,
,10.57,,,,,,,,
,10.17,,,,,,,,
,9.52,2,9.53,,,,,,
,9.13,,,,,,,,
,8.67,,,,,,,,
,8.2,,,,,,,,
,7.8,,,,,,,,
,7.33,,,,,,,,
,6.86,,,,,,,,
,6.4,,,,,,,,
,5.99,,,,,,,,
,5.56,2,5.54,,,,,,
,5.16,,,,,,,,
,4.76,,,,,,,,
,4.28,,,,,,,,
,3.81,,,,,,,,
,3.37,,,,,,,,
,2.92,,,,,,,,
,2.56,,,,,,,,
,2.11,,,,,,,,
,1.6,2,1.57,,,,,,
,1.12,,,,,,,,
,0.7,,,,,,,,
,0.28,,,,,,,,
,-0.14,,,,21.23,,,,
,20.72,,,,,,,,
,20.26,,,,,,,,
,19.73,,,,,,,,
,19.31,,,,,,,,
,18.86,1,18.83,,,,,,
,18.5,,,,,,,,
,18.05,,,,,,,,
,17.53,,,,,,,,
,17.06,,,,,,,,
,16.64,,,,,,,,
,16.21,,,,,,,,
,15.77,,,,,,,,
,15.35,,,,,,,,
,14.88,1,14.83,,,,,,
,14.39,,,,,,,,
,13.97,,,,,,,,
,13.57,,,,,,,,
,13.14,,,,,,,,
,12.66,,,,,,,,
,12.2,,,,,,,,
,11.73,,,,,,,,
,11.28,,,,,,,,
,10.88,1,10.84,,,,,,
,10.48,,,,,,,,
,10,,,,,,,,
,9.59,,,,,,,,
,9.1,,,,,,,,
,8.68,,,,,,,,
,8.28,,,,,,,,
,7.95,,,,,,,,
,7.53,,,,,,,,
,7.05,1,7,,,,,,
,6.61,,,,,,,,
,6.16,,,,,,,,
,5.76,,,,,,,,
,5.37,,,,,,,,
,4.99,,,,,,,,
,4.54,,,,,,,,
,4.06,,,,,,,,
,3.72,,,,,,,,
,3.29,,,,,,,,
,2.92,1,2.81,,,,,,
,2.49,,,,,,,,
,2.06,,,,,,,,
,1.68,,,,,,,,
,1.32,,,,,,,,
,0.95,,,,,,,,
,0.6,,,,,,,,
,0.22,,,,,,,,
,-0.16,,,,,,,,
,-0.5,,,,,,,,
,-0.82,,,,,,,,
,-1.13,,,,,,,,
,-1.45,,,,,,,,
,-1.6,,,,,,,,
,-1.82,,,,,,,,
,-1.88,,,,,,,,
,-1.89,,,,,,,,
,-1.9,,,,,,,,
,-1.9,,,,,,,,
