Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,0,,,,,61.42,,,
,0,,,,,,,,
,0.01,,,,,,,,
,0.03,,,,,,,,
,0.04,,,,,,,,
,0.06,,,,,,,,
,0.08,,,,,,,,
,0.11,,,,,,,,
,0.13,,,,,,,,
,0.14,,,,,,,,
,0.19,,,,,,,,
,0.34,,,,,,,,
,0.61,,,,,,,,
,1.02,,,,,,,,
,1.39,,,,,,,,
,1.87,,,,,,,,
,2.33,,,,,,,,
,2.66,,,,,,,,
,3.04,,,,,,,,
,3.44,,,,,,,,
,3.86,,,,,,,,
,4.29,,,,,,,,
,4.75,,,,,,,,
,5.17,1,5.24,,,,,,
,5.55,,,,,,,,
,5.91,,,,,,,,
,6.39,,,,,,,,
,6.89,,,,,,,,
,7.33,,,,,,,,
,7.78,,,,,,,,
,8.15,,,,,,,,
,8.6,,,,,,,,
,8.99,,,,,,,,
,9.5,1,9.5,,,,,,
,9.86,,,,,,,,
,10.32,,,,,,,,
,10.72,,,,,,,,
,11.2,,,,,,,,
,11.68,,,,,,,,
,12.14,,,,,,,,
,12.44,,,,,,,,
,12.89,,,,,,,,
,13.28,1,13.34,,,,,,
,13.75,,,,,,,,
,14.28,,,,,,,,
,14.7,,,,,,,,
,15.13,,,,,,,,
,15.57,,,,,,,,
,16.01,,,,,,,,
,16.47,,,,,,,,
,16.87,,,,,,,,
,17.36,1,17.42,,,,,,
,17.83,,,,,,,,
,18.25,,,,,,,,
,18.7,,,,,,,,
,19.15,,,,,,,,
,19.59,,,,,,,,
,20.07,,,,,,,,
,20.52,,,,,,,,
,20.93,1,21.02,,,,,,
,21.44,,,,,,,,
,21.78,,,,,,,,
,22.2,,,,,,,,
,22.86,,,,,,,,
,23.3,,,,0,,,,
,0.34,,,,,,,,
,0.82,,,,,,,,
,1.24,,,,,,,,
,1.85,,,,,,,,
,2.24,,,,,,,,
,2.71,1,2.72,,,,,,
,3.07,,,,,,,,
,3.48,,,,,,,,
,3.9,,,,,,,,
,4.4,,,,,,,,
,4.81,,,,,,,,
,5.23,,,,,,,,
,5.65,,,,,,,,
,6.02,2,6.08,,,,,,
,6.64,,,,,,,,
,7.01,,,,,,,,
,7.39,,,,,,,,
,7.85,,,,,,,,
,8.18,,,,,,,,
,8.65,,,,,,,,
,9.07,,,,,,,,
,9.56,,,,,,,,
,9.95,2,10.07,,,,,,
,10.57,,,,,,,,
,11.05,,,,,,,,
,11.41,,,,,,,,
,11.79,,,,,,,,
,12.16,,,,,,,,
,12.59,,,,,,,,
,13.04,,,,,,,,
,13.66,,,,,,,,
,14.22,2,14.19,,,,,,
,14.58,,,,,,,,
,14.89,,,,,,,,
,15.03,,,,,,,,
,15.07,,,,,,,,
,15.09,,,,,,,,
,15.09,,,,,,,,
