Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,0,,,,,61.6,,,
,0.01,,,,,,,,
,0.01,,,,,,,,
,0.03,,,,,,,,
,0.06,,,,,,,,
,0.07,,,,,,,,
,0.09,,,,,,,,
,0.12,,,,,,,,
,0.16,,,,,,,,
,0.25,,,,,,,,
,0.49,,,,,,,,
,0.75,,,,,,,,
,1.18,,,,,,,,
,1.55,,,,,,,,
,2.03,,,,,,,,
,2.37,,,,,,,,
,2.74,,,,,,,,
,3.15,,,,,,,,
,3.59,,,,,,,,
,4.01,,,,,,,,
,4.44,,,,,,,,
,4.88,,,,,,,,
,5.39,1,5.4,,,,,,
,5.66,,,,,,,,
,6.1,,,,,,,,
,6.5,,,,,,,,
,6.97,,,,,,,,
,7.41,,,,,,,,
,7.85,,,,,,,,
,8.26,,,,,,,,
,8.64,,,,,,,,
,9.07,,,,,,,,
,9.5,1,9.55,,,,,,
,9.92,,,,,,,,
,10.32,,,,,,,,
,10.73,,,,,,,,
,11.15,,,,,,,,
,11.59,,,,,,,,
,12.04,,,,,,,,
,12.49,,,,,,,,
,12.96,,,,,,,,
,13.37,1,13.46,,,,,,
,13.89,,,,,,,,
,14.28,,,,,,,,
,14.74,,,,,,,,
,15.2,,,,,,,,
,15.67,,,,,,,,
,16.07,,,,,,,,
,16.5,,,,,,,,
,16.94,,,,,,,,
,17.41,1,17.48,,,,,,
,17.89,,,,,,,,
,18.25,,,,,,,,
,18.7,,,,,,,,
,19.14,,,,,,,,
,19.64,,,,,,,,
,20.06,,,,,,,,
,20.59,,,,,,,,
,20.98,1,21.09,,,,,,
,21.44,,,,,,,,
,21.86,,,,,,,,
,22.33,,,,,,,,
,22.78,,,,0,,,,
,0.51,,,,,,,,
,0.99,,,,,,,,
,1.39,,,,,,,,
,1.82,,,,,,,,
,2.31,,,,,,,,
,2.81,1,2.87,,,,,,
,3.28,,,,,,,,
,3.62,,,,,,,,
,4.03,,,,,,,,
,4.46,,,,,,,,
,4.86,,,,,,,,
,5.34,,,,,,,,
,5.77,,,,,,,,
,6.19,,,,,,,,
,6.64,2,6.74,,,,,,
,7.12,,,,,,,,
,7.59,,,,,,,,
,8.05,,,,,,,,
,8.5,,,,,,,,
,8.93,,,,,,,,
,9.32,,,,,,,,
,9.8,,,,,,,,
,10.27,2,10.33,,,,,,
,10.67,,,,,,,,
,11.14,,,,,,,,
,11.47,,,,,,,,
,12.09,,,,,,,,
,12.49,,,,,,,,
,12.94,,,,,,,,
,13.34,,,,,,,,
,13.98,,,,,,,,
,14.4,2,14.49,,,,,,
,14.82,,,,,,,,
,15.05,,,,,,,,
,15.61,,,,,,,,
,15.67,,,,,,,,
,15.72,,,,,,,,
,15.74,,,,,,,,
