Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,16.17,,,,,61.7,,,
,16.17,,,,,,,,
,16.13,,,,,,,,
,16.13,,,,,,,,
,16.11,,,,,,,,
,16.09,,,,,,,,
,16.05,,,,,,,,
,15.95,,,,,,,,
,15.65,,,,,,,,
,15.12,,,,,,,,
,14.47,,,,,,,,
,13.88,,,,,,,,
,13.36,,,,,,,,
,12.84,,,,,,,,
,12.4,,,,,,,,
,11.87,,,,,,,,
,11.33,,,,,,,,
,10.8,2,10.71,,,,,,
,10.34,,,,,,,,
,9.85,,,,,,,,
,9.42,,,,,,,,
,9.03,,,,,,,,
,8.54,,,,,,,,
,8.02,,,,,,,,
,7.58,,,,,,,,
,7.18,,,,,,,,
,6.71,2,6.67,,,,,,
,6.35,,,,,,,,
,5.88,,,,,,,,
,5.39,,,,,,,,
,4.98,,,,,,,,
,4.52,,,,,,,,
,4.11,,,,,,,,
,3.72,,,,,,,,
,3.29,,,,,,,,
,2.79,2,2.7,,,,,,
,2.31,,,,,,,,
,1.94,,,,,,,,
,1.49,,,,,,,,
,1.07,,,,,,,,
,0.59,,,,,,,,
,0.12,,,,23.42,,,,
,22.89,,,,,,,,
,22.48,,,,,,,,
,22.08,1,22.03,,,,,,
,21.7,,,,,,,,
,21.2,,,,,,,,
,20.71,,,,,,,,
,20.27,,,,,,,,
,19.87,,,,,,,,
,19.42,,,,,,,,
,18.98,,,,,,,,
,18.46,,,,,,,,
,17.96,1,17.87,,,,,,
,17.54,,,,,,,,
,17.1,,,,,,,,
,16.78,,,,,,,,
,16.29,,,,,,,,
,15.83,,,,,,,,
,15.32,,,,,,,,
,14.79,,,,,,,,
,14.46,,,,,,,,
,14.04,1,13.96,,,,,,
,13.59,,,,,,,,
,13.09,,,,,,,,
,12.69,,,,,,,,
,12.25,,,,,,,,
,11.82,,,,,,,,
,11.44,,,,,,,,
,10.97,,,,,,,,
,10.51,,,,,,,,
,10.03,1,9.97,,,,,,
,9.66,,,,,,,,
,9.31,,,,,,,,
,8.88,,,,,,,,
,8.45,,,,,,,,
,8,,,,,,,,
,7.61,,,,,,,,
,7.2,,,,,,,,
,6.76,,,,,,,,
,6.4,,,,,,,,
,6.06,1,5.99,,,,,,
,5.66,,,,,,,,
,5.24,,,,,,,,
,4.89,,,,,,,,
,4.52,,,,,,,,
,4.07,,,,,,,,
,3.71,,,,,,,,
,3.31,,,,,,,,
,3.05,,,,,,,,
,2.6,,,,,,,,
,2.29,1,2.16,,,,,,
,1.85,,,,,,,,
,1.47,,,,,,,,
,1.37,,,,,,,,
,1.31,,,,,,,,
,1.3,,,,,,,,
,1.26,,,,,,,,
,1.25,,,,,,,,
,1.23,,,,,,,,
,1.23,,,,,,,,
,1.21,,,,,,,,
,1.2,,,,,,,,
,1.21,,,,,,,,
