Set,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Direction,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing
Date/Time,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07
10 (least pull),,22.07,,22.08,,22.1,,22.11,,22.11,,22.11,,22.12,,22.12,,22.13,,22.13,,22.14,,22.14
9,19.51,19.67,19.51,19.68,19.51,19.69,19.52,19.7,19.54,19.7,19.54,19.71,19.55,19.71,19.55,19.71,19.55,19.72,19.55,19.72,19.56,19.73,19.55,19.73
8,17.5,17.67,17.5,17.7,17.5,17.71,17.5,17.72,17.52,17.72,17.52,17.72,17.52,17.72,17.53,17.72,17.54,17.73,17.54,17.73,17.53,17.75,17.54,17.74
7,15.45,15.63,15.48,15.64,15.45,15.65,15.45,15.64,15.46,15.67,15.48,15.67,15.48,15.66,15.49,15.66,15.5,15.66,15.51,15.68,15.49,15.67,15.48,15.68
6,13.32,13.5,13.33,13.51,13.33,13.52,13.34,13.53,13.35,13.55,13.37,13.54,13.35,13.53,13.37,13.54,13.36,13.53,13.38,13.54,13.38,13.54,13.38,13.55
5,11.07,11.22,11.08,11.19,11.09,11.24,11.1,11.25,11.1,11.25,11.1,11.25,11.11,11.26,11.13,11.27,11.12,11.26,11.13,11.27,11.13,11.27,11.14,11.28
4,8.72,8.84,8.72,8.85,8.73,8.85,8.74,8.86,8.74,8.87,8.74,8.87,8.77,8.88,8.76,8.88,8.76,8.88,8.76,8.89,8.77,8.9,8.77,8.9
3,6.26,6.38,6.27,6.37,6.27,6.38,6.28,6.4,6.28,6.4,6.29,6.41,6.3,6.41,6.31,6.41,6.3,6.42,6.31,6.42,6.31,6.42,6.32,6.43
2,3.57,3.66,3.58,3.67,3.58,3.68,3.59,3.67,3.6,3.69,3.6,3.68,3.61,3.69,3.61,3.69,3.61,3.69,3.62,3.71,3.62,3.71,3.63,3.71
1 (most pull),0.03,,0.03,,0.03,,0.04,,0.04,,0.05,,0.06,,0.07,,0.06,,0.07,,0.07,,0.08,
