180 Deg. Turns,Cable Pull (mm),Measurement (deg),Is Outlier
0,,-4,
1,,-3.7,
2,,-3.3,
3,,-3,
4,,-2.9,
5,,-2.6,
6,,-2.3,
7,,-2.1,
8,,-2,
9,,-1.8,
10,,-1.6,
11,,-1.4,
12,,-1.3,
13,,-1.1,
14,,-0.9,
15,,-0.8,
16,,-0.7,
17,,-0.3,
18,,-0.3,
19,,-0.2,
20,,0.1,
21,,0,
22,,0.1,
23,,0.4,
24,,0.4,
25,,0.7,
26,,0.7,
27,,0.8,
28,,1,
29,,1.1,
30,,1.2,
31,,1.3,
32,,1.5,
33,,1.7,
34,,1.7,
35,,1.9,
36,,2,
37,,2.1,
38,,2.3,
39,,2.5,
40,,2.7,
41,,2.8,
42,,3.1,
43,,3.3,
44,,3.7,
45,,3.8,
46,,3.9,
