180 Deg. Turns,Cable Pull (mm),Measurement (deg),Is Outlier
0,,-3.7,
1,,-4,
2,,-3.7,
3,,-3.5,
4,,-3.1,
5,,-2.9,
6,,-2.6,
7,,-2.4,
8,,-2.2,
9,,-2,
10,,-1.7,
11,,-1.6,
12,,-1.3,
13,,-1.3,
14,,-1.1,
15,,-0.9,
16,,-0.8,
17,,-0.6,
18,,-0.5,
19,,-0.3,
20,,-0.2,
21,,0.1,
22,,0.1,
23,,0.1,
24,,0.4,
25,,0.6,
26,,0.7,
27,,0.8,
28,,0.9,
29,,1,
30,,1.2,
31,,1.2,
32,,1.3,
33,,1.6,
34,,1.6,
35,,1.7,
36,,1.9,
37,,2.1,
38,,2.1,
39,,2.3,
40,,2.5,
41,,2.7,
42,,2.9,
43,,3.1,
44,,3.3,
45,,3.7,
46,,4,
