180 Deg. Turns,Cable Pull (mm),Measurement (deg),Is Outlier
0,,-3.9,
1,,-4.2,
2,,-3.9,
3,,-3.5,
4,,-3.2,
5,,-2.9,
6,,-2.7,
7,,-2.4,
8,,-2.3,
9,,-2,
10,,-1.9,
11,,-1.6,
12,,-1.5,
13,,-1.3,
14,,-1.1,
15,,-0.9,
16,,-0.8,
17,,-0.7,
18,,-0.6,
19,,-0.4,
20,,-0.2,
21,,-0.2,
22,,0,
23,,0.2,
24,,0.3,
25,,0.4,
26,,0.6,
27,,0.7,
28,,0.8,
29,,1,
30,,1.1,
31,,1.3,
32,,1.3,
33,,1.5,
34,,1.7,
35,,1.7,
36,,1.8,
37,,2.2,
38,,2.3,
39,,2.3,
40,,2.6,
41,,2.7,
42,,3,
43,,3.2,
44,,3.5,
45,,3.6,
46,,3.8,
