Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,22.21,,,,,64.74,111.11,,
,22.27,,,,,,,,
,22.26,,,,,,,,
,22.14,,,,,,,,
,21.86,,,,,,,,
,21.45,,,,,,,,
,21.03,,,,,,,,
,20.56,,,,,,,,
,20.1,,,,,,,,
,19.65,,,,,,,,
,19.12,,,,,,,,
,18.51,,,,,,,,
,17.98,,,,,,,,
,17.45,,,,,,,,
,16.86,,,,,,,,
,16.43,,,,,,,,
,15.98,,,,,,,,
,15.39,,,,,,,,
,14.83,,,,,,,,
,14.3,,,,,,,,
,13.78,,,,,,,,
,13.31,,,,,,,,
,12.85,,,,,,,,
,12.35,2,12.31,,,,,,
,11.82,,,,,,,,
,11.35,,,,,,,,
,10.85,,,,,,,,
,10.31,,,,,,,,
,9.84,,,,,,,,
,9.31,,,,,,,,
,8.85,,,,,,,,
,8.31,1,8.16,,,,,,
,7.79,,,,,,,,
,7.29,,,,,,,,
,6.76,,,,,,,,
,6.17,,,,,,,,
,5.67,,,,,,,,
,5.15,,,,,,,,
,4.66,1,4.57,,,,,,
,4.11,,,,,,,,
,3.57,,,,,,,,
,3.04,,,,,,,,
,2.53,,,,,,,,
,2.02,,,,,,,,
,1.48,,,,,,,,
,1,1,0.97,,,,,,
,0.44,,,,,,,,
,-0.08,,,,25.08,,,,
,24.53,,,,,,,,
,24.02,,,,,,,,
,23.52,,,,,,,,
,22.96,,,,,,,,
,22.33,1,22.31,,,,,,
,21.93,,,,,,,,
,21.37,,,,,,,,
,20.81,,,,,,,,
,20.3,,,,,,,,
,19.75,,,,,,,,
,19.22,,,,,,,,
,18.75,1,18.64,,,,,,
,18.17,,,,,,,,
,17.64,,,,,,,,
,17.21,,,,,,,,
,16.7,,,,,,,,
,16.17,,,,,,,,
,15.67,,,,,,,,
,15.16,1,15.14,,,,,,
,14.66,,,,,,,,
,14.24,,,,,,,,
,13.72,,,,,,,,
,13.27,,,,,,,,
,12.77,,,,,,,,
,12.3,,,,,,,,
,11.84,,,,,,,,
,11.42,,,,,,,,
,10.9,1,10.86,,,,,,
,10.44,,,,,,,,
,9.94,,,,,,,,
,9.52,,,,,,,,
,9.14,,,,,,,,
,8.69,,,,,,,,
,8.25,,,,,,,,
,7.82,,,,,,,,
,7.39,1,7.32,,,,,,
,6.96,,,,,,,,
,6.59,,,,,,,,
,6.18,,,,,,,,
,5.78,,,,,,,,
,5.34,,,,,,,,
,4.97,,,,,,,,
,4.6,,,,,,,,
,4.24,1,4.16,,,,,,
,3.82,,,,,,,,
,3.44,,,,,,,,
,3.1,,,,,,,,
,2.83,,,,,,,,
,2.43,,,,,,,,
,2.11,,,,,,,,
,1.79,,,,,,,,
,1.52,,,,,,,,
,1.22,,,,,,,,
,0.99,,,,,,,,
,0.87,,,,,,,,
,0.8,,,,,,,,
,0.75,,,,,,,,
