Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,0.01,,,,,64.87,111.35,,
,0.06,,,,,,,,
,0.1,,,,,,,,
,0.28,,,,,,,,
,0.52,,,,,,,,
,0.81,,,,,,,,
,1.06,,,,,,,,
,1.4,,,,,,,,
,1.72,,,,,,,,
,2.05,,,,,,,,
,2.41,,,,,,,,
,2.74,,,,,,,,
,3.21,,,,,,,,
,3.61,,,,,,,,
,3.95,,,,,,,,
,4.35,,,,,,,,
,4.81,,,,,,,,
,5.12,,,,,,,,
,5.56,,,,,,,,
,5.9,,,,,,,,
,6.33,1,6.36,,,,,,
,6.76,,,,,,,,
,7.25,,,,,,,,
,7.63,,,,,,,,
,8.1,,,,,,,,
,8.54,,,,,,,,
,8.93,,,,,,,,
,9.39,,,,,,,,
,9.9,,,,,,,,
,10.35,1,10.42,,,,,,
,10.71,,,,,,,,
,11.17,,,,,,,,
,11.64,,,,,,,,
,12.12,,,,,,,,
,12.6,,,,,,,,
,13.04,,,,,,,,
,13.5,,,,,,,,
,14,,,,,,,,
,14.49,1,14.55,,,,,,
,14.95,,,,,,,,
,15.54,,,,,,,,
,16.03,,,,,,,,
,16.49,,,,,,,,
,17.01,,,,,,,,
,17.36,,,,,,,,
,17.83,,,,,,,,
,18.48,1,18.51,,,,,,
,18.9,,,,,,,,
,19.4,,,,,,,,
,19.94,,,,,,,,
,20.55,,,,,,,,
,21.06,,,,,,,,
,21.48,,,,,,,,
,22.05,1,22.05,,,,,,
,22.42,,,,,,,,
,23.1,,,,,,,,
,23.61,,,,,,,,
,24.16,,,,,,,,
,24.77,,,,,,,,
,25.2,,,,0.61,,,,
,1.15,1,1.22,,,,,,
,1.69,,,,,,,,
,2.15,,,,,,,,
,2.74,,,,,,,,
,3.29,,,,,,,,
,3.9,,,,,,,,
,4.33,,,,,,,,
,4.92,1,4.95,,,,,,
,5.38,,,,,,,,
,5.98,,,,,,,,
,6.51,,,,,,,,
,7,,,,,,,,
,7.56,,,,,,,,
,8.06,,,,,,,,
,8.56,1,8.61,,,,,,
,9.05,,,,,,,,
,9.66,,,,,,,,
,10.21,,,,,,,,
,10.69,,,,,,,,
,11.14,,,,,,,,
,11.56,,,,,,,,
,12.17,1,12.19,,,,,,
,12.65,,,,,,,,
,13.26,,,,,,,,
,13.72,,,,,,,,
,14.28,,,,,,,,
,14.71,,,,,,,,
,15.23,,,,,,,,
,15.8,,,,,,,,
,16.32,2,16.31,,,,,,
,16.7,,,,,,,,
,17.18,,,,,,,,
,17.68,,,,,,,,
,18.2,,,,,,,,
,18.61,,,,,,,,
,19.01,,,,,,,,
,19.46,,,,,,,,
,19.9,,,,,,,,
,20.27,,,,,,,,
,20.63,,,,,,,,
,20.93,,,,,,,,
,21.28,,,,,,,,
,21.53,,,,,,,,
,21.75,,,,,,,,
,21.94,,,,,,,,
,22.16,,,,,,,,
