Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
,0.01,,,,,63.88,101.46
,-0.05,,,,,,
,0.01,,,,,,
,0.01,,,,,,
,0.02,,,,,,
,0.08,,,,,,
,0.18,,,,,,
,0.21,,,,,,
,0.36,,,,,,
,0.59,,,,,,
,0.79,,,,,,
,1.21,,,,,,
,1.48,,,,,,
,1.75,,,,,,
,2.08,,,,,,
,2.35,,,,,,
,2.68,,,,,,
,3.04,,,,,,
,3.36,,,,,,
,3.67,,,,,,
,3.98,,,,,,
,4.42,,,,,,
,4.78,,,,,,
,5.06,,,,,,
,5.4,,,,,,
,5.6,,,,,,
,5.87,,,,,,
,6.25,,,,,,
,6.6,,,,,,
,6.99,,,,,,
,7.35,,,,,,
,7.78,,,,,,
,8.1,,,,,,
,8.42,1,8.49,,,,
,8.96,,,,,,
,9.17,,,,,,
,9.53,,,,,,
,9.85,,,,,,
,10.21,,,,,,
,10.57,,,,,,
,10.98,,,,,,
,11.36,,,,,,
,11.79,,,,,,
,12.14,,,,,,
,12.45,1,12.55,,,,
,12.78,,,,,,
,13.29,,,,,,
,13.63,,,,,,
,13.96,,,,,,
,14.25,,,,,,
,14.65,,,,,,
,15.02,,,,,,
,15.43,,,,,,
,15.78,,,,,,
,16.13,,,,,,
,16.55,,,,,,
,16.83,1,16.85,,,,
,17.25,,,,,,
,17.7,,,,,,
,18.05,,,,,,
,18.33,,,,,,
,18.71,,,,,,
,19.09,,,,,,
,19.44,,,,,,
,19.92,,,,,,
,20.32,,,,,,
,20.69,1,20.68,,,,
,21.1,,,,,,
,21.41,,,,,,
,21.77,,,,1.05,,
,1.48,,,,,,
,1.86,,,,,,
,2.27,,,,,,
,2.6,,,,,,
,2.99,,,,,,
,3.36,,,,,,
,3.81,,,,,,
,4.12,2,4.09,,,,
,4.47,,,,,,
,4.81,,,,,,
,5.16,,,,,,
,5.59,,,,,,
,5.99,,,,,,
,6.37,,,,,,
,6.72,,,,,,
,7.07,,,,,,
,7.43,,,,,,
,7.8,,,,,,
,8.2,2,8.24,,,,
,8.58,,,,,,
,8.93,,,,,,
,9.32,,,,,,
,9.64,,,,,,
,9.99,,,,,,
,10.37,,,,,,
,10.8,,,,,,
,11.16,,,,,,
,11.46,,,,,,
,11.81,,,,,,
,12.2,,,,,,
,12.59,3,12.59,,,,
,12.97,,,,,,
,13.36,,,,,,
,13.71,,,,,,
,14.01,,,,,,
,14.35,,,,,,
,14.82,,,,,,
,15.18,,,,,,
,15.6,,,,,,
,16.08,,,,,,
,16.48,,,,,,
,16.81,3,16.8,,,,
,17.16,,,,,,
,17.61,,,,,,
,18.08,,,,,,
,18.51,,,,,,
,18.74,,,,,,
,19.24,,,,,,
,19.59,,,,,,
,20.11,,,,,,
,20.42,,,,,,
,20.68,,,,,,
,21.1,,,,,,
,21.48,,,,,,
,21.83,,,,,,
,22.34,,,,,,
,22.41,,,,,,
,22.42,,,,,,
,22.42,,,,,,
