Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
,0.01,,,,,63.97,108.4
,0.09,,,,,,
,0.08,,,,,,
,0.11,,,,,,
,0.11,,,,,,
,0.23,,,,,,
,0.38,,,,,,
,0.51,,,,,,
,0.74,,,,,,
,1.08,,,,,,
,1.37,,,,,,
,1.7,,,,,,
,2.03,,,,,,
,2.4,,,,,,
,2.68,,,,,,
,3.04,,,,,,
,3.43,,,,,,
,3.72,,,,,,
,3.98,,,,,,
,4.36,,,,,,
,4.68,,,,,,
,5.05,,,,,,
,5.34,,,,,,
,5.7,,,,,,
,6.06,,,,,,
,6.4,,,,,,
,6.86,,,,,,
,7.1,,,,,,
,7.43,,,,,,
,7.79,,,,,,
,8.17,1,8.19,,,,
,8.5,,,,,,
,8.88,,,,,,
,9.25,,,,,,
,9.59,,,,,,
,10.14,,,,,,
,10.38,,,,,,
,10.73,,,,,,
,11.11,,,,,,
,11.51,,,,,,
,11.81,,,,,,
,12.21,1,12.22,,,,
,12.47,,,,,,
,12.84,,,,,,
,13.21,,,,,,
,13.58,,,,,,
,13.91,,,,,,
,14.3,,,,,,
,14.63,,,,,,
,15.07,,,,,,
,15.54,,,,,,
,15.84,,,,,,
,16.17,,,,,,
,16.54,,,,,,
,16.88,1,16.9,,,,
,17.29,,,,,,
,17.7,,,,,,
,18.08,,,,,,
,18.43,,,,,,
,18.88,,,,,,
,19.14,,,,,,
,19.48,,,,,,
,19.93,,,,,,
,20.35,,,,,,
,20.73,,,,,,
,21.05,1,21.05,,,,
,21.41,,,,,,
,21.81,,,,,,
,22.18,,,,,,
,22.64,,,,0.28,,
,0.7,,,,,,
,1.03,,,,,,
,1.46,,,,,,
,1.85,,,,,,
,2.22,,,,,,
,2.57,,,,,,
,2.92,1,2.92,,,,
,3.24,,,,,,
,3.61,,,,,,
,4,,,,,,
,4.4,,,,,,
,4.8,,,,,,
,5.17,,,,,,
,5.51,,,,,,
,5.88,,,,,,
,6.27,,,,,,
,6.64,,,,,,
,6.98,2,6.92,,,,
,7.28,,,,,,
,7.6,,,,,,
,7.99,,,,,,
,8.37,,,,,,
,8.74,,,,,,
,9.11,,,,,,
,9.48,,,,,,
,9.81,,,,,,
,10.14,,,,,,
,10.54,,,,,,
,10.93,,,,,,
,11.32,2,11.44,,,,
,11.78,,,,,,
,12.08,,,,,,
,12.46,,,,,,
,12.8,,,,,,
,13.19,,,,,,
,13.57,,,,,,
,13.96,,,,,,
,14.32,,,,,,
,14.68,,,,,,
,15.1,,,,,,
,15.5,,,,,,
,15.9,3,15.88,,,,
,16.17,,,,,,
,16.52,,,,,,
,16.86,,,,,,
,17.34,,,,,,
,17.95,,,,,,
,18.41,,,,,,
,18.68,,,,,,
,19.04,,,,,,
,19.44,,,,,,
,19.84,,,,,,
,20.46,,,,,,
,20.9,,,,,,
,21.18,,,,,,
,21.47,,,,,,
,21.65,,,,,,
,21.88,,,,,,
,22.07,,,,,,
,22.16,,,,,,
,22.26,,,,,,
,22.3,,,,,,
,22.34,,,,,,
,22.39,,,,,,
