Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
,22.43,,,,,64.22,106.64
,22.43,,,,,,
,22.41,,,,,,
,22.24,,,,,,
,21.9,,,,,,
,21.53,,,,,,
,21.12,,,,,,
,20.71,,,,,,
,20.37,,,,,,
,20.04,,,,,,
,19.65,,,,,,
,19.24,,,,,,
,18.86,,,,,,
,18.46,,,,,,
,18.04,,,,,,
,17.73,,,,,,
,17.42,,,,,,
,16.99,,,,,,
,16.57,,,,,,
,16.2,,,,,,
,15.77,,,,,,
,15.45,,,,,,
,15.15,,,,,,
,14.7,,,,,,
,14.36,,,,,,
,14,,,,,,
,13.67,,,,,,
,13.37,,,,,,
,12.97,,,,,,
,12.55,,,,,,
,12.19,3,12.14,,,,
,11.8,,,,,,
,11.41,,,,,,
,11.06,,,,,,
,10.72,,,,,,
,10.32,,,,,,
,9.95,,,,,,
,9.6,,,,,,
,9.2,,,,,,
,8.9,,,,,,
,8.57,,,,,,
,8.13,2,8.12,,,,
,7.77,,,,,,
,7.36,,,,,,
,6.96,,,,,,
,6.67,,,,,,
,6.33,,,,,,
,5.89,,,,,,
,5.56,,,,,,
,5.13,,,,,,
,4.8,,,,,,
,4.48,,,,,,
,4.05,,,,,,
,3.64,2,3.67,,,,
,3.27,,,,,,
,2.88,,,,,,
,2.57,,,,,,
,2.31,,,,,,
,1.85,,,,,,
,1.41,,,,,,
,1.01,,,,,,
,0.6,,,,,,
,0.22,,,,21.45,,
,21.05,,,,,,
,20.65,2,20.75,,,,
,20.44,,,,,,
,19.99,,,,,,
,19.58,,,,,,
,19.21,,,,,,
,18.87,,,,,,
,18.51,,,,,,
,18.07,,,,,,
,17.64,,,,,,
,17.22,,,,,,
,16.84,,,,,,
,16.5,1,16.53,,,,
,16.19,,,,,,
,15.78,,,,,,
,15.38,,,,,,
,15.16,,,,,,
,14.72,,,,,,
,14.27,,,,,,
,13.98,,,,,,
,13.52,,,,,,
,13.18,,,,,,
,12.8,,,,,,
,12.4,1,12.38,,,,
,12.13,,,,,,
,11.78,,,,,,
,11.37,,,,,,
,10.94,,,,,,
,10.6,,,,,,
,10.22,,,,,,
,9.81,,,,,,
,9.52,,,,,,
,9.09,,,,,,
,8.73,,,,,,
,8.34,1,8.32,,,,
,7.98,,,,,,
,7.68,,,,,,
,7.32,,,,,,
,6.93,,,,,,
,6.68,,,,,,
,6.27,,,,,,
,5.91,,,,,,
,5.57,,,,,,
,5.26,,,,,,
,4.9,,,,,,
,4.53,,,,,,
,4.21,,,,,,
,3.88,,,,,,
,3.62,,,,,,
,3.33,,,,,,
,2.98,,,,,,
,2.62,,,,,,
,2.35,,,,,,
,2.08,,,,,,
,1.7,,,,,,
,1.43,,,,,,
,1.18,,,,,,
,0.92,,,,,,
,0.88,,,,,,
,0.77,,,,,,
,0.76,,,,,,
,0.76,,,,,,
,0.7,,,,,,
,0.72,,,,,,
,0.7,,,,,,
,0.7,,,,,,
