Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
,22.87,,,,,64.02,108.46
,22.84,,,,,,
,22.73,,,,,,
,22.61,,,,,,
,22.49,,,,,,
,22.26,,,,,,
,21.99,,,,,,
,21.71,,,,,,
,21.44,,,,,,
,21.09,,,,,,
,20.75,,,,,,
,20.34,,,,,,
,20,,,,,,
,19.58,,,,,,
,19.23,,,,,,
,18.85,,,,,,
,18.49,,,,,,
,18.15,,,,,,
,17.72,,,,,,
,17.28,,,,,,
,16.9,,,,,,
,16.54,,,,,,
,16.16,,,,,,
,15.82,,,,,,
,15.4,,,,,,
,15.05,,,,,,
,14.72,,,,,,
,14.36,,,,,,
,13.99,,,,,,
,13.59,,,,,,
,13.25,,,,,,
,12.9,,,,,,
,12.5,,,,,,
,12.13,,,,,,
,11.8,3,11.81,,,,
,11.37,,,,,,
,11.05,,,,,,
,10.64,,,,,,
,10.32,,,,,,
,9.94,,,,,,
,9.58,,,,,,
,9.24,,,,,,
,8.85,,,,,,
,8.47,,,,,,
,8.1,,,,,,
,7.69,,,,,,
,7.36,2,7.34,,,,
,7.03,,,,,,
,6.64,,,,,,
,6.23,,,,,,
,5.88,,,,,,
,5.53,,,,,,
,5.15,,,,,,
,4.91,,,,,,
,4.43,,,,,,
,4.01,,,,,,
,3.64,,,,,,
,3.23,2,3.28,,,,
,2.97,,,,,,
,2.59,,,,,,
,2.19,,,,,,
,1.76,,,,,,
,1.4,,,,,,
,1.03,,,,,,
,0.67,,,,,,
,0.31,,,,,,
,-0.11,,,,24.34,,
,23.97,,,,,,
,23.54,2,23.56,,,,
,23.23,,,,,,
,22.9,,,,,,
,22.49,,,,,,
,22.1,,,,,,
,21.73,,,,,,
,21.29,,,,,,
,20.94,,,,,,
,20.67,,,,,,
,20.28,,,,,,
,19.83,,,,,,
,19.41,1,19.42,,,,
,19.05,,,,,,
,18.69,,,,,,
,18.36,,,,,,
,17.97,,,,,,
,17.58,,,,,,
,17.12,,,,,,
,16.78,,,,,,
,16.39,,,,,,
,15.99,,,,,,
,15.67,,,,,,
,15.44,,,,,,
,14.95,1,14.95,,,,
,14.59,,,,,,
,14.23,,,,,,
,13.85,,,,,,
,13.5,,,,,,
,13.18,,,,,,
,12.76,,,,,,
,12.44,,,,,,
,12.17,,,,,,
,11.76,,,,,,
,11.37,,,,,,
,11.01,1,10.99,,,,
,10.62,,,,,,
,10.23,,,,,,
,9.88,,,,,,
,9.52,,,,,,
,9.21,,,,,,
,8.82,,,,,,
,8.44,,,,,,
,8.12,,,,,,
,7.76,,,,,,
,7.45,,,,,,
,7.13,1,7.15,,,,
,6.89,,,,,,
,6.57,,,,,,
,6.24,,,,,,
,5.95,,,,,,
,5.59,,,,,,
,5.23,,,,,,
,4.94,,,,,,
,4.65,,,,,,
,4.42,,,,,,
,4.03,,,,,,
,3.74,,,,,,
,3.59,,,,,,
,3.18,,,,,,
,3,,,,,,
,2.9,,,,,,
,2.81,,,,,,
,2.78,,,,,,
,2.76,,,,,,
,2.73,,,,,,
,2.69,,,,,,
,2.67,,,,,,
,2.73,,,,,,
